 Atime,       Adur,    Aperc, A,    Arx1,   Ary1,   Arz1,       
 0004.927734, 000980,  0.098, _,    -00196, -00024, 008405,    
 0004.939453, 000978,  0.098, _,    -00191, 000021, 008407,    
 0004.949219, 000979,  0.098, _,    -00180, -00019, 008310,    
 0004.958984, 000978,  0.098, _,    -00198, 000005, 008260,    
 0004.968750, 000980,  0.098, _,    -00183, 000000, 008398,    
 0004.978516, 000979,  0.098, _,    -00189, -00024, 008363,    
 0004.988281, 000979,  0.098, _,    -00199, -00016, 008363,    
 0004.998047, 000980,  0.098, _,    -00141, -00003, 008366,    
 0005.007812, 000977,  0.098, _,    -00230, 000007, 008388,    
 0005.017578, 000977,  0.098, _,    -00162, 000016, 008330,    
 0005.029297, 000978,  0.098, _,    -00197, -00003, 008389,    
 0005.039062, 000979,  0.098, _,    -00182, -00028, 008358,    
 0005.048828, 000980,  0.098, _,    -00170, 000025, 008362,    
 0005.058594, 000978,  0.098, _,    -00167, -00034, 008390,    
 0005.068359, 000980,  0.098, _,    -00153, 000012, 008362,    
 0005.078125, 000979,  0.098, _,    -00165, 000006, 008414,    
 0005.087891, 000978,  0.098, _,    -00127, -00006, 008374,    
 0005.097656, 000979,  0.098, _,    -00207, -00038, 008355,    
 0005.109375, 000978,  0.098, _,    -00196, -00031, 008366,    
 0005.119141, 000979,  0.098, _,    -00208, -00025, 008390,    
 0005.128906, 000979,  0.098, _,    -00193, -00026, 008407,    
 0005.138672, 000979,  0.098, _,    -00205, 000005, 008347,    
 0005.148438, 000981,  0.098, _,    -00155, -00019, 008342,    
 0005.158203, 000978,  0.098, _,    -00161, -00015, 008373,    
 0005.167969, 000980,  0.098, _,    -00137, 000000, 008332,    
 0005.177734, 000993,  0.099, _,    -00129, 000017, 008309,    
 0005.189453, 000981,  0.098, _,    -00168, 000002, 008374,    
 0005.199219, 000982,  0.098, _,    -00131, -00010, 008376,    
 0005.208984, 000979,  0.098, _,    -00221, 000009, 008338,    
 0005.218750, 000980,  0.098, _,    -00226, 000001, 008429,    
 0005.228516, 000979,  0.098, _,    -00166, 000023, 008345,    
 0005.238281, 000978,  0.098, _,    -00189, 000001, 008337,    
 0005.248047, 000980,  0.098, _,    -00201, 000020, 008326,    
 0005.257812, 000979,  0.098, _,    -00171, 000021, 008363,    
 0005.267578, 000979,  0.098, _,    -00192, 000004, 008342,    
 0005.279297, 000978,  0.098, _,    -00169, 000007, 008294,    
 0005.289062, 000979,  0.098, _,    -00172, -00021, 008344,    
 0005.298828, 000981,  0.098, _,    -00161, 000028, 008337,    
 0005.308594, 000980,  0.098, _,    -00197, 000043, 008389,    
 0005.318359, 000979,  0.098, _,    -00186, -00007, 008366,    
 0005.328125, 000978,  0.098, _,    -00199, -00033, 008349,    
 0005.337891, 000979,  0.098, _,    -00152, 000022, 008356,    
 0005.347656, 000979,  0.098, _,    -00212, -00026, 008369,    
 0005.359375, 000981,  0.098, _,    -00166, 000018, 008364,    
 0005.369141, 000980,  0.098, _,    -00188, 000000, 008382,    
 0005.378906, 000980,  0.098, _,    -00166, -00017, 008331,    
 0005.388672, 000979,  0.098, _,    -00182, 000000, 008370,    
 0005.398438, 000981,  0.098, _,    -00225, 000012, 008422,    
 0005.408203, 000979,  0.098, _,    -00175, -00006, 008327,    
 0005.417969, 000978,  0.098, _,    -00162, 000025, 008375,    
 0005.427734, 000979,  0.098, _,    -00183, -00008, 008346,    
 0005.439453, 000979,  0.098, _,    -00184, -00005, 008373,    
 0005.449219, 000981,  0.098, _,    -00172, -00011, 008295,    
 0005.458984, 000979,  0.098, _,    -00135, 000017, 008424,    
 0005.468750, 000980,  0.098, _,    -00191, 000042, 008376,    
 0005.478516, 000979,  0.098, _,    -00137, 000018, 008374,    
 0005.488281, 000980,  0.098, _,    -00223, -00010, 008365,    
 0005.498047, 000980,  0.098, _,    -00141, 000003, 008367,    
 0005.507812, 000979,  0.098, _,    -00196, -00012, 008311,    
 0005.517578, 000979,  0.098, _,    -00204, -00045, 008354,    
 0005.529297, 000979,  0.098, _,    -00172, -00047, 008280,    
 0005.539062, 000980,  0.098, _,    -00177, -00049, 008411,    
 0005.548828, 000980,  0.098, _,    -00161, -00018, 008359,    
 0005.558594, 000978,  0.098, _,    -00205, -00013, 008379,    
 0005.568359, 000980,  0.098, _,    -00166, -00044, 008376,    
 0005.578125, 000980,  0.098, _,    -00142, 000007, 008373,    
 0005.587891, 000979,  0.098, _,    -00195, -00013, 008405,    
 0005.597656, 000978,  0.098, _,    -00230, 000021, 008363,    
 0005.609375, 000978,  0.098, _,    -00196, -00011, 008389,    
 0005.619141, 000981,  0.098, _,    -00165, 000001, 008400,    
 0005.628906, 000980,  0.098, _,    -00135, -00027, 008353,    
 0005.638672, 000980,  0.098, _,    -00183, 000010, 008396,    
 0005.648438, 000979,  0.098, _,    -00186, 000003, 008357,    
 0005.658203, 000980,  0.098, _,    -00194, -00016, 008322,    
 0005.667969, 000979,  0.098, _,    -00158, -00025, 008361,    
 0005.677734, 000978,  0.098, _,    -00231, 000001, 008335,    
 0005.689453, 000978,  0.098, _,    -00172, 000016, 008353,    
 0005.699219, 000979,  0.098, _,    -00206, -00002, 008375,    
 0005.708984, 000979,  0.098, _,    -00231, -00016, 008365,    
 0005.718750, 000978,  0.098, _,    -00180, 000000, 008347,    
 0005.728516, 000977,  0.098, _,    -00153, 000013, 008373,    
 0005.738281, 000980,  0.098, _,    -00174, 000000, 008371,    
 0005.748047, 000980,  0.098, _,    -00153, 000036, 008331,    
 0005.757812, 000978,  0.098, _,    -00172, -00021, 008370,    
 0005.767578, 000978,  0.098, _,    -00149, -00018, 008328,    
 0005.779297, 000978,  0.098, _,    -00182, 000016, 008328,    
 0005.789062, 000979,  0.098, _,    -00185, -00016, 008401,    
 0005.798828, 000981,  0.098, _,    -00180, -00046, 008401,    
 0005.808594, 000978,  0.098, _,    -00191, -00023, 008347,    
 0005.818359, 001051,  0.105, _,    -00152, -00017, 008374,    
 0005.828125, 000985,  0.099, _,    -00206, -00010, 008407,    
 0005.837891, 000999,  0.100, _,    -00164, -00002, 008352,    
 0005.847656, 000983,  0.098, _,    -00131, -00004, 008320,    
 0005.859375, 000980,  0.098, _,    -00187, -00009, 008353,    
 0005.869141, 000981,  0.098, _,    -00315, -00536, 008318,    
 0005.878906, 000979,  0.098, _,    -00090, -00260, 008387,    
 0005.888672, 000980,  0.098, _,    000049, 000328, 008379,    
 0005.898438, 000980,  0.098, _,    000006, -00176, 008227,    
 0005.908203, 000979,  0.098, _,    -00187, 000043, 008441,    
 0005.917969, 000980,  0.098, _,    -00133, 000030, 008342,    
 0005.927734, 000978,  0.098, _,    -00063, 000030, 008398,    
 0005.939453, 000981,  0.098, _,    -00061, -00009, 008469,    
 0005.949219, 000980,  0.098, _,    -00140, -00020, 008559,    
 0005.958984, 000979,  0.098, _,    -00163, -00100, 008613,    
 0005.968750, 000979,  0.098, _,    001131, -01668, 008538,    
 0005.978516, 000979,  0.098, _,    000580, 000052, 008549,    
 0005.988281, 000978,  0.098, _,    -00816, 001321, 008704,    
 0005.998047, 000979,  0.098, _,    -00070, -00100, 008620,    
 0006.007812, 000980,  0.098, _,    -00622, -00133, 008679,    
 0006.017578, 000978,  0.098, _,    -01480, -00001, 008253,    
 0006.029297, 000978,  0.098, _,    -02890, 000119, 007779,    
 0006.039062, 000979,  0.098, _,    -03111, -00234, 007401,    
 0006.048828, 000980,  0.098, _,    -03250, -00377, 007564,    
 0006.058594, 000978,  0.098, _,    -03669, -00339, 007172,    
 0006.068359, 000979,  0.098, _,    -03943, -00207, 007153,    
 0006.078125, 000978,  0.098, _,    -04002, -00226, 007084,    
 0006.087891, 000978,  0.098, _,    -04219, -00032, 006937,    
 0006.097656, 000981,  0.098, _,    -04424, -00052, 007478,    
 0006.109375, 000980,  0.098, _,    -04121, -00200, 006991,    
 0006.119141, 000980,  0.098, _,    -03936, -00423, 007006,    
 0006.128906, 000980,  0.098, _,    -04860, -00514, 007244,    
 0006.138672, 000979,  0.098, _,    -06009, -00505, 007292,    
 0006.148438, 000979,  0.098, _,    -06301, -00491, 006803,    
 0006.158203, 000980,  0.098, _,    -05528, -00390, 007203,    
 0006.167969, 000978,  0.098, _,    -04022, -00704, 006115,    
 0006.177734, 000978,  0.098, _,    -04033, 000020, 006660,    
 0006.189453, 000978,  0.098, _,    -04435, -00180, 006275,    
 0006.199219, 000978,  0.098, _,    -05458, -00570, 005609,    
 0006.208984, 000979,  0.098, _,    -06038, 000404, 005659,    
 0006.218750, 000979,  0.098, _,    -06571, 000443, 004901,    
 0006.228516, 000979,  0.098, _,    -06475, 000145, 004460,    
 0006.238281, 000977,  0.098, _,    -06042, 000461, 004402,    
 0006.248047, 000979,  0.098, _,    -05542, 000153, 005009,    
 0006.257812, 000980,  0.098, _,    -05669, -00064, 005602,    
 0006.267578, 000980,  0.098, _,    -06365, -00253, 006193,    
 0006.279297, 000978,  0.098, _,    -06693, -00406, 006353,    
 0006.289062, 000978,  0.098, _,    -06510, -00366, 006248,    
 0006.298828, 000981,  0.098, _,    -05945, -00408, 006011,    
 0006.308594, 000979,  0.098, _,    -05433, -00244, 005419,    
 0006.318359, 000979,  0.098, _,    -05631, -00178, 005235,    
 0006.328125, 000977,  0.098, _,    -06190, -00130, 005286,    
 0006.337891, 000977,  0.098, _,    -06114, -00221, 005263,    
 0006.347656, 000978,  0.098, _,    -05918, -00276, 005457,    
 0006.359375, 000980,  0.098, _,    -05712, -00262, 005509,    
 0006.369141, 000978,  0.098, _,    -05425, -00410, 005641,    
 0006.378906, 000979,  0.098, _,    -05489, -00299, 005757,    
 0006.388672, 000978,  0.098, _,    -05448, -00118, 005899,    
 0006.398438, 000979,  0.098, _,    -05605, -00327, 006248,    
 0006.408203, 000980,  0.098, _,    -05167, -00718, 006449,    
 0006.417969, 000979,  0.098, _,    -02175, -02019, 005334,    
 0006.427734, 000979,  0.098, _,    -04933, -00536, 008040,    
 0006.439453, 000979,  0.098, _,    -04205, -00630, 007431,    
 0006.449219, 000979,  0.098, _,    -04752, -00536, 007496,    
 0006.458984, 001003,  0.100, _,    -04748, -00167, 006867,    
 0006.468750, 000983,  0.098, _,    -04297, -00334, 006773,    
 0006.478516, 000985,  0.099, _,    -03524, -00629, 006944,    
 0006.488281, 000981,  0.098, _,    -03373, -00400, 007163,    
 0006.498047, 000980,  0.098, _,    -02792, -00342, 007488,    
 0006.507812, 000978,  0.098, _,    -02310, -00254, 007827,    
 0006.517578, 000978,  0.098, _,    -02279, -00212, 008026,    
 0006.529297, 000978,  0.098, _,    -02332, -00293, 008039,    
 0006.539062, 000981,  0.098, _,    -02260, -00074, 008013,    
 0006.548828, 000980,  0.098, _,    -01926, -00066, 008648,    
 0006.558594, 000978,  0.098, _,    -01898, -00466, 008024,    
 0006.568359, 000979,  0.098, _,    -02216, -00856, 007897,    
 0006.578125, 000980,  0.098, _,    -01920, -00825, 007914,    
 0006.587891, 000978,  0.098, _,    -01408, -00543, 008048,    
 0006.597656, 000978,  0.098, _,    -00970, -00487, 008234,    
 0006.609375, 000980,  0.098, _,    -00696, -00662, 008148,    
 0006.619141, 000978,  0.098, _,    -00721, -00971, 008085,    
 0006.628906, 000978,  0.098, _,    -00897, -00675, 007977,    
 0006.638672, 000979,  0.098, _,    -00862, -00513, 008115,    
 0006.648438, 000980,  0.098, _,    -00673, -00798, 008099,    
 0006.658203, 000978,  0.098, _,    -00472, -00633, 008361,    
 0006.667969, 000978,  0.098, _,    -00455, -00438, 008490,    
 0006.677734, 000978,  0.098, _,    -00438, -00288, 008750,    
 0006.689453, 000979,  0.098, _,    -00832, -00162, 008674,    
 0006.699219, 000979,  0.098, _,    -00721, -00391, 008462,    
 0006.708984, 000980,  0.098, _,    -00503, -00354, 008567,    
 0006.718750, 000979,  0.098, _,    -00410, -00105, 008560,    
 0006.728516, 000979,  0.098, _,    -00122, -00114, 008509,    
 0006.738281, 000977,  0.098, _,    -00431, -00396, 008835,    
 0006.748047, 000979,  0.098, _,    -00426, -00261, 008876,    
 0006.757812, 000979,  0.098, _,    -00364, 000007, 009023,    
 0006.767578, 000979,  0.098, _,    -00459, -00106, 009193,    
 0006.779297, 000980,  0.098, _,    -00538, -00218, 009354,    
 0006.789062, 000979,  0.098, _,    -00501, -00337, 009264,    
 0006.798828, 000978,  0.098, _,    -00123, -01191, 008993,    
 0006.808594, 000978,  0.098, _,    -00274, -01452, 008800,    
 0006.818359, 000978,  0.098, _,    -00024, -02565, 008435,    
 0006.828125, 000978,  0.098, _,    000107, -03101, 008288,    
 0006.837891, 000978,  0.098, _,    -00090, -03546, 007832,    
 0006.847656, 000980,  0.098, _,    -00308, -03758, 007901,    
 0006.859375, 000981,  0.098, _,    -00127, -03995, 007465,    
 0006.869141, 000978,  0.098, _,    000102, -03903, 007375,    
 0006.878906, 000979,  0.098, _,    000234, -04588, 006909,    
 0006.888672, 000979,  0.098, _,    000097, -05007, 006777,    
 0006.898438, 000981,  0.098, _,    000069, -05246, 007027,    
 0006.908203, 000980,  0.098, _,    000167, -05250, 007272,    
 0006.917969, 000979,  0.098, _,    000224, -05553, 006948,    
 0006.927734, 000979,  0.098, _,    000119, -05526, 006646,    
 0006.939453, 000977,  0.098, _,    -00086, -05776, 006311,    
 0006.949219, 000979,  0.098, _,    -00135, -05529, 005517,    
 0006.958984, 000979,  0.098, _,    -00093, -05003, 004654,    
 0006.968750, 000978,  0.098, _,    -00314, -05014, 004521,    
 0006.978516, 000979,  0.098, _,    -01123, -05415, 005050,    
 0006.988281, 000980,  0.098, _,    -01578, -05589, 005123,    
 0006.998047, 000978,  0.098, _,    -01280, -05318, 004905,    
 0007.007812, 000979,  0.098, _,    -00991, -05214, 004691,    
 0007.017578, 000977,  0.098, _,    -00792, -05430, 004661,    
 0007.029297, 000979,  0.098, _,    -00463, -05449, 004538,    
 0007.039062, 000981,  0.098, _,    -00284, -05562, 004419,    
 0007.048828, 000981,  0.098, _,    -00468, -05590, 004828,    
 0007.058594, 000983,  0.098, _,    -00927, -05967, 005138,    
 0007.068359, 000978,  0.098, _,    -01013, -06320, 004733,    
 0007.078125, 000980,  0.098, _,    -00740, -05966, 004058,    
 0007.087891, 000979,  0.098, _,    -00615, -05714, 003520,    
 0007.097656, 000998,  0.100, _,    -00679, -05631, 003359,    
 0007.109375, 000983,  0.098, _,    -00708, -05600, 003332,    
 0007.119141, 000982,  0.098, _,    -00748, -05698, 003168,    
 0007.128906, 000980,  0.098, _,    -00380, -18422, 014942,    
 0007.138672, 000979,  0.098, _,    -01841, -04626, 009968,    
 0007.148438, 000981,  0.098, _,    000347, -05967, 006435,    
 0007.158203, 000981,  0.098, _,    -01008, -07916, 006209,    
 0007.167969, 000980,  0.098, _,    -00141, -07442, 004967,    
 0007.177734, 000978,  0.098, _,    -00883, -06796, 004343,    
 0007.189453, 000979,  0.098, _,    -01196, -06313, 004813,    
 0007.199219, 000980,  0.098, _,    -00757, -06039, 005589,    
 0007.208984, 000979,  0.098, _,    000046, -05206, 004491,    
 0007.218750, 000978,  0.098, _,    000055, -05995, 006213,    
 0007.228516, 000979,  0.098, _,    000379, -04994, 006153,    
 0007.238281, 000979,  0.098, _,    000782, -04929, 006230,    
 0007.248047, 000979,  0.098, _,    000797, -04354, 006783,    
 0007.257812, 000979,  0.098, _,    000764, -03685, 007173,    
 0007.267578, 000978,  0.098, _,    000334, -02480, 007908,    
 0007.279297, 000981,  0.098, _,    -00320, -01772, 007750,    
 0007.289062, 000979,  0.098, _,    000020, -01126, 007458,    
 0007.298828, 000979,  0.098, _,    000127, -00064, 007580,    
 0007.308594, 000978,  0.098, _,    -00418, 001345, 008399,    
 0007.318359, 000979,  0.098, _,    -01476, 002245, 009008,    
 0007.328125, 000980,  0.098, _,    -00905, 002956, 009809,    
 0007.337891, 000977,  0.098, _,    -00445, 006278, 014974,    
 0007.347656, 000980,  0.098, _,    -00686, 004287, 006032,    
 0007.359375, 000980,  0.098, _,    002155, -01748, 008366,    
 0007.369141, 000978,  0.098, _,    001448, -02865, 007922,    
 0007.378906, 000981,  0.098, _,    -00621, -01093, 008444,    
 0007.388672, 000978,  0.098, _,    -00750, -00589, 008573,    
 0007.398438, 000979,  0.098, _,    000522, -01118, 008726,    
 0007.408203, 000978,  0.098, _,    000674, -01236, 008489,    
 0007.417969, 000979,  0.098, _,    000215, -00565, 008389,    
 0007.427734, 000980,  0.098, _,    000223, -00648, 008390,    
 0007.439453, 000979,  0.098, _,    -00049, -00248, 008367,    
 0007.449219, 000978,  0.098, _,    -00283, 000054, 008494,    
 0007.458984, 000978,  0.098, _,    -00382, -00470, 008403,    
 0007.468750, 000978,  0.098, _,    -00131, -00048, 008350,    
 0007.478516, 000979,  0.098, _,    000114, -00150, 008278,    
 0007.488281, 000980,  0.098, _,    -00394, -00041, 008348,    
 0007.498047, 000979,  0.098, _,    -00316, -00028, 008365,    
 0007.507812, 000980,  0.098, _,    -00147, -00028, 008386,    
 0007.517578, 000978,  0.098, _,    -00189, -00015, 008401,    
 0007.529297, 000978,  0.098, _,    -00233, -00015, 008366,    
 0007.539062, 000978,  0.098, _,    -00190, 000016, 008278,    
 0007.548828, 000980,  0.098, _,    -00230, -00025, 008361,    
 0007.558594, 000980,  0.098, _,    -00235, -00026, 008333,    
 0007.568359, 000979,  0.098, _,    -00193, -00045, 008361,    
 0007.578125, 000979,  0.098, _,    -00166, -00035, 008361,    
 0007.587891, 000978,  0.098, _,    -00256, 000033, 008296,    
 0007.597656, 000979,  0.098, _,    -00164, -00001, 008332,    
 0007.609375, 000979,  0.098, _,    -00186, -00010, 008311,    
 0007.619141, 000979,  0.098, _,    -00200, -00028, 008388,    
 0007.628906, 000979,  0.098, _,    -00212, -00037, 008364,    
 0007.638672, 000979,  0.098, _,    -00165, -00011, 008376,    
 0007.648438, 000979,  0.098, _,    -00208, -00008, 008358,    
 0007.658203, 000979,  0.098, _,    -00203, -00006, 008340,    
 0007.667969, 000980,  0.098, _,    -00172, -00007, 008329,    
 0007.677734, 000978,  0.098, _,    -00197, -00014, 008354,    
 0007.689453, 000979,  0.098, _,    -00195, -00016, 008277,    
 0007.699219, 000983,  0.098, _,    -00189, -00022, 008341,    
 0007.708984, 000981,  0.098, _,    -00185, 000012, 008317,    
 0007.718750, 000980,  0.098, _,    -00212, 000002, 008394,    
 0007.728516, 000980,  0.098, _,    -00237, -00011, 008386,    
 0007.738281, 000990,  0.099, _,    -00231, -00013, 008384,    
 0007.748047, 000981,  0.098, _,    -00223, 000016, 008307,    
 0007.757812, 000984,  0.098, _,    -00197, -00001, 008377,    
 0007.767578, 000980,  0.098, _,    -00258, 000005, 008330,    
 0007.779297, 000979,  0.098, _,    -00198, 000009, 008342,    
 0007.789062, 000980,  0.098, _,    -00178, 000023, 008356,    
 0007.798828, 000981,  0.098, _,    -00203, 000035, 008332,    
 0007.808594, 000979,  0.098, _,    -00186, -00007, 008361,    
 0007.818359, 000978,  0.098, _,    -00172, 000021, 008407,    
 0007.828125, 000979,  0.098, _,    -00197, 000016, 008311,    
 0007.837891, 000978,  0.098, _,    -00156, 000003, 008359,    
 0007.847656, 000978,  0.098, _,    -00181, -00026, 008372,    
 0007.859375, 000982,  0.098, _,    -00213, -00031, 008304,    
 0007.869141, 000980,  0.098, _,    -00194, -00012, 008354,    
 0007.878906, 000981,  0.098, _,    -00180, -00010, 008384,    
 0007.888672, 000978,  0.098, _,    -00169, -00014, 008350,    
 0007.898438, 000979,  0.098, _,    -00210, -00026, 008383,    
 0007.908203, 000980,  0.098, _,    -00215, -00017, 008354,    
 0007.917969, 000978,  0.098, _,    -00209, -00012, 008328,    
 0007.927734, 000978,  0.098, _,    -00190, 000019, 008391,    
 0007.939453, 000981,  0.098, _,    -00173, 000001, 008320,    
 0007.949219, 000979,  0.098, _,    -00205, 000016, 008313,    
 0007.958984, 000980,  0.098, _,    -00217, 000000, 008427,    
 0007.968750, 000980,  0.098, _,    -00248, -00028, 008351,    
 0007.978516, 000980,  0.098, _,    -00160, 000016, 008421,    
 0007.988281, 000979,  0.098, _,    -00205, -00023, 008402,    
 0007.998047, 000980,  0.098, _,    -00219, 000002, 008352,    
 0008.007812, 000981,  0.098, _,    -00246, 000002, 008310,    
 0008.017578, 000978,  0.098, _,    -00167, -00019, 008372,    
 0008.029297, 000979,  0.098, _,    -00185, -00007, 008313,    
 0008.039062, 000979,  0.098, _,    -00175, -00013, 008403,    
 0008.048828, 000979,  0.098, _,    -00176, -00041, 008361,    
 0008.058594, 000980,  0.098, _,    -00139, -00024, 008400,    
 0008.068359, 000978,  0.098, _,    -00223, -00013, 008300,    
 0008.078125, 000978,  0.098, _,    -00160, -00006, 008362,    
 0008.087891, 000978,  0.098, _,    -00176, -00045, 008406,    
 0008.097656, 000981,  0.098, _,    -00159, -00013, 008345,    
 0008.109375, 000982,  0.098, _,    -00193, -00042, 008335,    
 0008.119141, 000979,  0.098, _,    -00191, 000002, 008263,    
 0008.128906, 000979,  0.098, _,    -00214, -00002, 008389,    
 0008.138672, 000979,  0.098, _,    -00203, -00021, 008376,    
 0008.148438, 000979,  0.098, _,    -00207, -00024, 008307,    
 0008.158203, 000982,  0.098, _,    -00213, -00009, 008322,    
 0008.167969, 000980,  0.098, _,    -00217, -00026, 008343,    
 0008.177734, 000981,  0.098, _,    -00183, -00019, 008323,    
 0008.189453, 000981,  0.098, _,    -00222, -00034, 008323,    
 0008.199219, 000979,  0.098, _,    -00179, 000019, 008386,    
 0008.208984, 000977,  0.098, _,    -00150, -00027, 008366,    
 0008.218750, 000978,  0.098, _,    -00225, -00024, 008365,    
 0008.228516, 000979,  0.098, _,    -00187, -00038, 008392,    
 0008.238281, 000980,  0.098, _,    -00194, -00014, 008265,    
 0008.248047, 000981,  0.098, _,    -00176, -00033, 008382,    
 0008.257812, 000979,  0.098, _,    -00170, -00004, 008317,    
 0008.267578, 000979,  0.098, _,    -00197, -00037, 008371,    
 0008.279297, 000979,  0.098, _,    -00198, 000010, 008363,    
 0008.289062, 000980,  0.098, _,    -00243, -00030, 008313,    
 0008.298828, 000980,  0.098, _,    -00192, -00023, 008383,    
 0008.308594, 000979,  0.098, _,    -00200, -00013, 008333,    
 0008.318359, 000980,  0.098, _,    -00190, -00014, 008387,    
 0008.328125, 000978,  0.098, _,    -00196, -00026, 008363,    
 0008.337891, 000979,  0.098, _,    -00163, 000004, 008323,    
 0008.347656, 000979,  0.098, _,    -00194, -00012, 008343,    
 0008.359375, 000980,  0.098, _,    -00189, -00013, 008385,    
 0008.369141, 000979,  0.098, _,    -00202, 000016, 008374,    
 0008.378906, 000993,  0.099, _,    -00218, -00006, 008339,    
 0008.388672, 000980,  0.098, _,    -00167, 000035, 008380,    
 0008.398438, 000982,  0.098, _,    -00179, -00002, 008437,    
 0008.408203, 000980,  0.098, _,    -00177, -00009, 008356,    
 0008.417969, 000981,  0.098, _,    -00184, -00047, 008393,    
 0008.427734, 000979,  0.098, _,    -00213, 000011, 008358,    
 0008.439453, 000979,  0.098, _,    -00218, -00026, 008334,    
 0008.449219, 000978,  0.098, _,    -00177, 000000, 008349,    
 0008.458984, 000980,  0.098, _,    -00174, -00037, 008272,    
 0008.468750, 000980,  0.098, _,    -00168, -00003, 008361,    
 0008.478516, 000980,  0.098, _,    -00171, 000009, 008294,    
 0008.488281, 000979,  0.098, _,    -00205, 000008, 008403,    
 0008.498047, 000980,  0.098, _,    -00198, 000012, 008359,    
 0008.507812, 000980,  0.098, _,    -00196, -00016, 008395,    
 0008.517578, 000979,  0.098, _,    -00192, -00004, 008343,    
 0008.529297, 000978,  0.098, _,    -00217, 000012, 008311,    
 0008.539062, 000979,  0.098, _,    -00194, 000004, 008334,    
 0008.548828, 000981,  0.098, _,    -00235, -00025, 008372,    
 0008.558594, 000978,  0.098, _,    -00188, -00019, 008342,    
 0008.568359, 000980,  0.098, _,    -00171, 000015, 008343,    
 0008.578125, 000979,  0.098, _,    -00213, -00018, 008298,    
 0008.587891, 000979,  0.098, _,    -00167, -00027, 008332,    
 0008.597656, 000979,  0.098, _,    -00203, -00028, 008374,    
 0008.609375, 000980,  0.098, _,    -00176, -00046, 008335,    
 0008.619141, 000979,  0.098, _,    -00194, -00008, 008271,    
 0008.628906, 000978,  0.098, _,    -00167, -00039, 008344,    
 0008.638672, 000979,  0.098, _,    -00196, -00027, 008378,    
 0008.648438, 000981,  0.098, _,    -00165, -00035, 008342,    
 0008.658203, 000982,  0.098, _,    -00223, -00012, 008379,    
 0008.667969, 000978,  0.098, _,    -00206, -00028, 008348,    
 0008.677734, 000979,  0.098, _,    -00152, -00015, 008405,    
 0008.689453, 000978,  0.098, _,    -00199, -00033, 008363,    
 0008.699219, 000980,  0.098, _,    -00179, -00002, 008333,    
 0008.708984, 000979,  0.098, _,    -00192, 000007, 008326,    
 0008.718750, 000979,  0.098, _,    -00167, -00011, 008338,    
 0008.728516, 000980,  0.098, _,    -00192, 000011, 008331,    
 0008.738281, 000978,  0.098, _,    -00211, -00010, 008376,    
 0008.748047, 000980,  0.098, _,    -00203, -00011, 008329,    
 0008.757812, 000980,  0.098, _,    -00175, -00003, 008318,    
 0008.767578, 000981,  0.098, _,    -00185, 000017, 008375,    
 0008.779297, 000979,  0.098, _,    -00148, 000012, 008406,    
 0008.789062, 000980,  0.098, _,    -00195, -00040, 008370,    
 0008.798828, 000979,  0.098, _,    -00185, -00013, 008328,    
 0008.808594, 000981,  0.098, _,    -00171, -00015, 008447,    
 0008.818359, 000981,  0.098, _,    -00212, -00024, 008378,    
 0008.828125, 000980,  0.098, _,    -00155, -00041, 008382,    
 0008.837891, 000979,  0.098, _,    -00177, -00022, 008354,    
 0008.847656, 000980,  0.098, _,    -00214, 000002, 008325,    
 0008.859375, 000980,  0.098, _,    -00192, -00001, 008314,    
 0008.869141, 000979,  0.098, _,    -00213, -00019, 008243,    
 0008.878906, 000978,  0.098, _,    -00224, 000010, 008368,    
 0008.888672, 000978,  0.098, _,    -00193, 000002, 008306,    
 0008.898438, 000980,  0.098, _,    -00162, -00008, 008292,    
 0008.908203, 000980,  0.098, _,    -00194, -00014, 008309,    
 0008.917969, 000980,  0.098, _,    -00253, -00040, 008527,    
 0008.927734, 001131,  0.113, _,    -00250, 000005, 008419,    
