 Gtime,       Gdur,    Gperc, G,    Grx1,   Gry1,   Grz1,       
 0002.425781, 000981,  0.098, _,    -00038, 000075, -00029,    
 0002.435547, 000982,  0.098, _,    -00029, 000081, -00033,    
 0002.445312, 000981,  0.098, _,    -00029, 000075, -00035,    
 0002.455078, 000984,  0.098, _,    -00035, 000075, -00034,    
 0002.466797, 000980,  0.098, _,    -00038, 000084, -00031,    
 0002.476562, 000980,  0.098, _,    -00032, 000080, -00026,    
 0002.486328, 000979,  0.098, _,    -00034, 000076, -00034,    
 0002.496094, 000982,  0.098, _,    -00029, 000070, -00036,    
 0002.505859, 000981,  0.098, _,    -00043, 000075, -00033,    
 0002.515625, 000980,  0.098, _,    -00036, 000082, -00035,    
 0002.525391, 000980,  0.098, _,    -00050, 000079, -00033,    
 0002.535156, 000981,  0.098, _,    -00034, 000072, -00029,    
 0002.546875, 000981,  0.098, _,    -00033, 000073, -00032,    
 0002.556641, 000982,  0.098, _,    -00029, 000067, -00036,    
 0002.566406, 000980,  0.098, _,    -00033, 000080, -00034,    
 0002.576172, 000981,  0.098, _,    -00042, 000078, -00037,    
 0002.585938, 000981,  0.098, _,    -00036, 000070, -00035,    
 0002.595703, 000980,  0.098, _,    -00031, 000082, -00036,    
 0002.605469, 000981,  0.098, _,    -00033, 000072, -00039,    
 0002.615234, 000980,  0.098, _,    -00035, 000079, -00035,    
 0002.625000, 000986,  0.099, _,    -00033, 000067, -00029,    
 0002.636719, 000996,  0.100, _,    -00027, 000076, -00038,    
 0002.646484, 000989,  0.099, _,    -00034, 000072, -00032,    
 0002.656250, 000983,  0.098, _,    -00040, 000077, -00032,    
 0002.666016, 000981,  0.098, _,    -00031, 000080, -00036,    
 0002.675781, 000982,  0.098, _,    -00028, 000073, -00035,    
 0002.685547, 000980,  0.098, _,    -00037, 000077, -00030,    
 0002.695312, 000985,  0.099, _,    -00036, 000070, -00027,    
 0002.705078, 000983,  0.098, _,    -00028, 000074, -00028,    
 0002.716797, 000980,  0.098, _,    -00030, 000086, -00031,    
 0002.726562, 000980,  0.098, _,    -00034, 000081, -00040,    
 0002.736328, 000982,  0.098, _,    -00034, 000075, -00035,    
 0002.746094, 000980,  0.098, _,    -00042, 000080, -00037,    
 0002.755859, 000981,  0.098, _,    -00038, 000075, -00034,    
 0002.765625, 000980,  0.098, _,    -00034, 000074, -00036,    
 0002.775391, 000981,  0.098, _,    -00044, 000071, -00039,    
 0002.785156, 000981,  0.098, _,    -00035, 000075, -00043,    
 0002.796875, 000981,  0.098, _,    -00041, 000078, -00032,    
 0002.806641, 000982,  0.098, _,    -00035, 000076, -00037,    
 0002.816406, 000982,  0.098, _,    -00041, 000068, -00034,    
 0002.826172, 000981,  0.098, _,    -00042, 000077, -00037,    
 0002.835938, 000980,  0.098, _,    -00030, 000083, -00037,    
 0002.845703, 000982,  0.098, _,    -00030, 000068, -00029,    
 0002.855469, 000981,  0.098, _,    -00026, 000080, -00035,    
 0002.865234, 000981,  0.098, _,    -00033, 000069, -00034,    
 0002.875000, 000980,  0.098, _,    -00038, 000078, -00034,    
 0002.886719, 000982,  0.098, _,    -00034, 000080, -00037,    
 0002.896484, 000981,  0.098, _,    -00033, 000077, -00032,    
 0002.906250, 000981,  0.098, _,    -00038, 000079, -00037,    
 0002.916016, 000980,  0.098, _,    -00029, 000076, -00035,    
 0002.925781, 000981,  0.098, _,    -00032, 000077, -00037,    
 0002.935547, 000995,  0.100, _,    -00038, 000073, -00040,    
 0002.945312, 000986,  0.099, _,    -00030, 000080, -00035,    
 0002.955078, 000982,  0.098, _,    -00034, 000072, -00038,    
 0002.966797, 000981,  0.098, _,    -00025, 000082, -00035,    
 0002.976562, 000980,  0.098, _,    -00034, 000078, -00036,    
 0002.986328, 000980,  0.098, _,    -00038, 000075, -00034,    
 0002.996094, 000983,  0.098, _,    -00042, 000074, -00033,    
 0003.005859, 000982,  0.098, _,    -00036, 000083, -00032,    
 0003.015625, 000984,  0.098, _,    -00029, 000080, -00035,    
 0003.025391, 000979,  0.098, _,    -00035, 000074, -00036,    
 0003.035156, 000981,  0.098, _,    -00033, 000079, -00040,    
 0003.046875, 000982,  0.098, _,    -00037, 000074, -00033,    
