 Gtime,       Gdur,    Gperc, G,    Grx1,   Gry1,   Grz1,      Gax1,      Gay1,      Gaz1   
 0002.999146, 000993,  0.099, _,    -00039, 000073, -00029,    -00036.59, 000073.42, -00032.58,    
 0003.009155, 000991,  0.099, _,    -00032, 000081, -00032,    -00035.92, 000075.23, -00031.91,    
 0003.019135, 000997,  0.100, _,    -00035, 000076, -00028,    -00035.41, 000075.44, -00031.58,    
 0003.029144, 000993,  0.099, _,    -00042, 000082, -00040,    -00036.97, 000076.78, -00032.81,    
 0003.039154, 000992,  0.099, _,    -00037, 000072, -00040,    -00037.02, 000076.12, -00035.02,    
 0003.049133, 000992,  0.099, _,    -00032, 000078, -00035,    -00035.98, 000076.20, -00034.67,    
 0003.059143, 000994,  0.099, _,    -00034, 000075, -00029,    -00035.42, 000076.31, -00033.77,    
 0003.069153, 000994,  0.099, _,    -00035, 000076, -00042,    -00035.44, 000075.95, -00035.02,    
 0003.079132, 000995,  0.100, _,    -00034, 000072, -00038,    -00035.16, 000075.41, -00036.33,    
 0003.089142, 001010,  0.101, _,    -00035, 000081, -00030,    -00035.06, 000076.17, -00034.64,    
 0003.099152, 000995,  0.100, _,    -00042, 000077, -00044,    -00036.42, 000076.89, -00036.67,    
 0003.109131, 000995,  0.100, _,    -00037, 000066, -00039,    -00036.81, 000074.34, -00037.50,    
 0003.119141, 000991,  0.099, _,    -00029, 000085, -00030,    -00035.03, 000076.42, -00035.95,    
 0003.129150, 000992,  0.099, _,    -00031, 000068, -00031,    -00034.05, 000075.14, -00034.81,    
 0003.139130, 000993,  0.099, _,    -00033, 000074, -00032,    -00033.80, 000074.19, -00034.20,    
 0003.149139, 000989,  0.099, _,    -00040, 000078, -00033,    -00034.97, 000075.41, -00033.89,    
 0003.159149, 000992,  0.099, _,    -00034, 000076, -00040,    -00034.98, 000075.25, -00035.06,    
 0003.169159, 000992,  0.099, _,    -00034, 000075, -00034,    -00034.56, 000075.47, -00035.05,    
