 Atime,       Adur,    Aperc, A,    Arx1,   Ary1,   Arz1,      Aax1,      Aay1,      Aaz1,   
 0002.851807, 000991,  0.099, _,    -00187, -00032, 008361,    -00193.89, -00017.53, 008347.44,    
 0002.861786, 000991,  0.099, _,    -00215, -00024, 008350,    -00198.66, -00018.55, 008347.38,    
 0002.871796, 000991,  0.099, _,    -00216, -00017, 008390,    -00203.23, -00018.61, 008356.89,    
 0002.881805, 000991,  0.099, _,    -00213, -00006, 008374,    -00205.19, -00015.77, 008361.30,    
 0002.891785, 000990,  0.099, _,    -00187, 000006, 008344,    -00202.17, -00011.33, 008357.66,    
 0002.901794, 000990,  0.099, _,    -00202, -00051, 008269,    -00201.36, -00018.77, 008339.06,    
 0002.911804, 000989,  0.099, _,    -00235, -00038, 008375,    -00209.44, -00024.80, 008343.62,    
 0002.921783, 000989,  0.099, _,    -00217, -00016, 008375,    -00211.59, -00022.23, 008353.86,    
 0002.931793, 000992,  0.099, _,    -00167, 000008, 008358,    -00202.22, -00016.80, 008353.22,    
 0002.941803, 000990,  0.099, _,    -00190, -00035, 008394,    -00198.14, -00019.17, 008363.23,    
 0002.951782, 000991,  0.099, _,    -00155, -00036, 008363,    -00189.83, -00024.77, 008363.23,    
 0002.961792, 000989,  0.099, _,    -00195, -00050, 008387,    -00188.95, -00028.77, 008368.66,    
 0002.971802, 000991,  0.099, _,    -00209, 000017, 008343,    -00194.91, -00021.02, 008364.36,    
 0002.981812, 000992,  0.099, _,    -00166, 000021, 008306,    -00187.86, -00009.44, 008350.58,    
 0002.991791, 000993,  0.099, _,    -00196, -00043, 008405,    -00188.89, -00017.30, 008360.52,    
 0003.001801, 000993,  0.099, _,    -00222, 000010, 008337,    -00196.06, -00012.33, 008358.70,    
 0003.011810, 000990,  0.099, _,    -00198, -00038, 008356,    -00197.12, -00015.98, 008355.12,    
 0003.021790, 000994,  0.099, _,    -00180, -00003, 008282,    -00192.95, -00015.20, 008343.42,    
 0003.031799, 000995,  0.100, _,    -00221, -00031, 008340,    -00197.95, -00016.02, 008337.84,    
 0003.041809, 000991,  0.099, _,    -00212, -00021, 008261,    -00201.95, -00019.59, 008325.41,    
 0003.051788, 000992,  0.099, _,    -00182, 000004, 008421,    -00197.95, -00013.06, 008338.39,    
 0003.061798, 000993,  0.099, _,    -00189, -00042, 008385,    -00195.80, -00019.12, 008355.47,    
 0003.071808, 001009,  0.101, _,    -00206, -00003, 008332,    -00198.12, -00016.44, 008345.59,    
 0003.081787, 000995,  0.100, _,    -00249, 000033, 008338,    -00209.27, -00005.08, 008347.03,    
 0003.091797, 001000,  0.100, _,    -00210, 000014, 008366,    -00210.97, -00000.22, 008347.83,    
 0003.101807, 000992,  0.099, _,    -00206, 000000, 008371,    -00209.00, -00000.61, 008356.12,    
 0003.111786, 000991,  0.099, _,    -00206, -00033, 008391,    -00209.48, -00006.64, 008361.03,    
 0003.121796, 000991,  0.099, _,    -00203, 000013, 008382,    -00207.45, -00004.02, 008368.02,    
 0003.131805, 000993,  0.099, _,    -00177, -00038, 008379,    -00201.64, -00008.70, 008369.47,    
 0003.141785, 000990,  0.099, _,    -00213, -00048, 008344,    -00202.53, -00019.47, 008367.05,    
 0003.151794, 000991,  0.099, _,    -00188, -00006, 008294,    -00201.16, -00016.14, 008350.31,    
 0003.161804, 000990,  0.099, _,    -00218, -00007, 008333,    -00202.69, -00013.95, 008346.20,    
 0003.171783, 000989,  0.099, _,    -00223, -00027, 008381,    -00209.22, -00016.39, 008353.16,    
 0003.181793, 000993,  0.099, _,    -00217, -00011, 008382,    -00209.88, -00016.09, 008359.58,    
