 timeG,       durG,    percG, G,    rGx1,   rGy1,   rGz1,       
 0000.951172, 000979,  0.979, _,    -00036, 000086, -00038,    
 0000.951172, 000979,  0.979, _,    -00037, 000084, -00039,    
 0000.953125, 000978,  0.978, _,    -00033, 000077, -00036,    
 0000.955078, 000976,  0.976, _,    -00030, 000075, -00035,    
 0000.955078, 000977,  0.977, _,    -00033, 000078, -00039,    
 0000.957031, 000977,  0.977, _,    -00038, 000080, -00037,    
 0000.957031, 000980,  0.980, _,    -00038, 000078, -00032,    
 0000.958984, 000977,  0.977, _,    -00034, 000075, -00029,    
 0000.958984, 000978,  0.978, _,    -00033, 000074, -00033,    
 0000.960938, 000978,  0.978, _,    -00032, 000074, -00039,    
 0000.960938, 000979,  0.979, _,    -00026, 000076, -00035,    
 0000.962891, 000978,  0.978, _,    -00026, 000078, -00029,    
 0000.962891, 000976,  0.976, _,    -00032, 000080, -00027,    
 0000.964844, 000976,  0.976, _,    -00036, 000077, -00027,    
 0000.964844, 000977,  0.977, _,    -00037, 000073, -00028,    
 0000.966797, 000977,  0.977, _,    -00039, 000072, -00032,    
 0000.966797, 000976,  0.976, _,    -00036, 000069, -00033,    
 0000.968750, 000977,  0.977, _,    -00034, 000067, -00033,    
 0000.968750, 000978,  0.978, _,    -00033, 000070, -00031,    
 0000.970703, 000978,  0.978, _,    -00032, 000071, -00025,    
 0000.970703, 000977,  0.977, _,    -00035, 000077, -00028,    
 0000.972656, 000976,  0.976, _,    -00035, 000081, -00036,    
 0000.972656, 000977,  0.977, _,    -00031, 000080, -00035,    
 0000.974609, 000976,  0.976, _,    -00033, 000075, -00030,    
 0000.974609, 000976,  0.976, _,    -00030, 000071, -00027,    
 0000.976562, 000977,  0.977, _,    -00027, 000070, -00028,    
 0000.976562, 000977,  0.977, _,    -00028, 000073, -00031,    
 0000.978516, 000977,  0.977, _,    -00032, 000076, -00030,    
 0000.978516, 000979,  0.979, _,    -00034, 000076, -00030,    
 0000.980469, 000978,  0.978, _,    -00038, 000074, -00031,    
 0000.980469, 000977,  0.977, _,    -00039, 000076, -00026,    
 0000.982422, 000979,  0.979, _,    -00038, 000075, -00023,    
 0000.982422, 000977,  0.977, _,    -00040, 000074, -00029,    
 0000.984375, 000978,  0.978, _,    -00043, 000074, -00034,    
 0000.984375, 000976,  0.976, _,    -00043, 000072, -00033,    
 0000.986328, 000977,  0.977, _,    -00043, 000069, -00031,    
 0000.986328, 000978,  0.978, _,    -00041, 000068, -00030,    
 0000.988281, 000976,  0.976, _,    -00041, 000070, -00029,    
 0000.988281, 000978,  0.978, _,    -00042, 000075, -00030,    
 0000.990234, 000978,  0.978, _,    -00036, 000081, -00034,    
 0000.990234, 000978,  0.978, _,    -00033, 000080, -00036,    
 0000.992188, 000978,  0.978, _,    -00033, 000072, -00032,    
 0000.992188, 000978,  0.978, _,    -00037, 000067, -00033,    
 0000.994141, 000979,  0.979, _,    -00039, 000066, -00033,    
 0000.996094, 000977,  0.977, _,    -00040, 000068, -00029,    
 0000.996094, 000977,  0.977, _,    -00039, 000073, -00026,    
 0000.998047, 000978,  0.978, _,    -00037, 000080, -00027,    
 0000.998047, 000977,  0.977, _,    -00038, 000084, -00030,    
 0001.000000, 000980,  0.980, _,    -00037, 000081, -00031,    
 0001.000000, 000977,  0.977, _,    -00037, 000077, -00036,    
 0001.001953, 000978,  0.978, _,    -00041, 000079, -00034,    
 0001.001953, 000978,  0.978, _,    -00043, 000079, -00027,    
 0001.003906, 000978,  0.978, _,    -00040, 000076, -00028,    
 0001.003906, 000977,  0.977, _,    -00036, 000073, -00037,    
 0001.005859, 000978,  0.978, _,    -00034, 000071, -00042,    
 0001.005859, 000978,  0.978, _,    -00035, 000077, -00034,    
 0001.007812, 000978,  0.978, _,    -00038, 000083, -00026,    
 0001.007812, 000976,  0.976, _,    -00041, 000080, -00026,    
 0001.009766, 000979,  0.979, _,    -00036, 000075, -00028,    
 0001.009766, 000978,  0.978, _,    -00031, 000069, -00029,    
 0001.011719, 000993,  0.993, _,    -00032, 000068, -00027,    
 0001.011719, 000980,  0.980, _,    -00034, 000070, -00030,    
 0001.013672, 000976,  0.976, _,    -00034, 000072, -00030,    
 0001.013672, 000978,  0.978, _,    -00034, 000074, -00031,    
 0001.015625, 000977,  0.977, _,    -00034, 000075, -00034,    
 0001.015625, 000978,  0.978, _,    -00033, 000077, -00035,    
 0001.017578, 000976,  0.976, _,    -00031, 000077, -00033,    
 0001.017578, 000978,  0.978, _,    -00031, 000077, -00031,    
 0001.019531, 000981,  0.981, _,    -00030, 000080, -00032,    
 0001.019531, 000979,  0.979, _,    -00033, 000082, -00038,    
 0001.021484, 000978,  0.978, _,    -00042, 000081, -00038,    
 0001.021484, 000978,  0.978, _,    -00043, 000079, -00033,    
 0001.023438, 000977,  0.977, _,    -00039, 000075, -00031,    
 0001.023438, 000975,  0.975, _,    -00035, 000074, -00028,    
 0001.025391, 000976,  0.976, _,    -00033, 000075, -00032,    
 0001.025391, 000976,  0.976, _,    -00032, 000078, -00035,    
 0001.027344, 000977,  0.977, _,    -00031, 000083, -00037,    
 0001.027344, 000978,  0.978, _,    -00031, 000078, -00039,    
 0001.029297, 000979,  0.979, _,    -00037, 000067, -00034,    
 0001.029297, 000977,  0.977, _,    -00038, 000064, -00029,    
 0001.031250, 000975,  0.975, _,    -00036, 000069, -00027,    
 0001.031250, 000979,  0.979, _,    -00034, 000072, -00027,    
 0001.033203, 000978,  0.978, _,    -00033, 000070, -00030,    
 0001.035156, 000977,  0.977, _,    -00032, 000073, -00033,    
 0001.035156, 000977,  0.977, _,    -00032, 000080, -00036,    
 0001.037109, 000977,  0.977, _,    -00038, 000080, -00038,    
 0001.037109, 000977,  0.977, _,    -00042, 000074, -00038,    
 0001.039062, 000977,  0.977, _,    -00039, 000067, -00038,    
 0001.039062, 000986,  0.986, _,    -00031, 000071, -00036,    
 0001.041016, 000984,  0.984, _,    -00030, 000079, -00037,    
 0001.041016, 000979,  0.979, _,    -00035, 000081, -00038,    
 0001.042969, 000978,  0.978, _,    -00033, 000082, -00034,    
 0001.042969, 000977,  0.977, _,    -00031, 000078, -00033,    
 0001.044922, 000978,  0.978, _,    -00033, 000071, -00037,    
 0001.044922, 000978,  0.978, _,    -00038, 000066, -00039,    
 0001.046875, 000977,  0.977, _,    -00039, 000069, -00038,    
 0001.046875, 000976,  0.976, _,    -00037, 000072, -00038,    
 0001.048828, 000978,  0.978, _,    -00035, 000079, -00039,    
 0001.048828, 000978,  0.978, _,    -00035, 000083, -00041,    
 0001.050781, 000979,  0.979, _,    -00038, 000078, -00043,    
 0001.050781, 000977,  0.977, _,    -00033, 000071, -00040,    
 0001.052734, 000978,  0.978, _,    -00029, 000071, -00036,    
 0001.052734, 000976,  0.976, _,    -00029, 000072, -00038,    
 0001.054688, 000977,  0.977, _,    -00033, 000071, -00033,    
 0001.054688, 000977,  0.977, _,    -00037, 000069, -00035,    
 0001.056641, 000977,  0.977, _,    -00034, 000071, -00038,    
 0001.056641, 000976,  0.976, _,    -00027, 000073, -00039,    
 0001.058594, 000977,  0.977, _,    -00031, 000079, -00038,    
 0001.058594, 000978,  0.978, _,    -00040, 000086, -00034,    
 0001.060547, 000978,  0.978, _,    -00042, 000086, -00031,    
 0001.060547, 000976,  0.976, _,    -00038, 000082, -00031,    
 0001.062500, 000976,  0.976, _,    -00035, 000080, -00032,    
 0001.062500, 000977,  0.977, _,    -00031, 000081, -00035,    
 0001.064453, 000976,  0.976, _,    -00032, 000080, -00038,    
 0001.064453, 000978,  0.978, _,    -00035, 000077, -00038,    
 0001.066406, 000977,  0.977, _,    -00033, 000076, -00035,    
 0001.066406, 000977,  0.977, _,    -00028, 000072, -00035,    
 0001.068359, 000977,  0.977, _,    -00028, 000071, -00034,    
 0001.068359, 000978,  0.978, _,    -00033, 000070, -00031,    
 0001.070312, 000977,  0.977, _,    -00035, 000070, -00031,    
 0001.070312, 000978,  0.978, _,    -00034, 000069, -00036,    
 0001.072266, 000977,  0.977, _,    -00033, 000068, -00037,    
 0001.072266, 000977,  0.977, _,    -00032, 000068, -00035,    
 0001.074219, 000977,  0.977, _,    -00031, 000073, -00036,    
 0001.076172, 000990,  0.990, _,    -00033, 000076, -00039,    
 0001.076172, 000979,  0.979, _,    -00038, 000077, -00042,    
 0001.078125, 000977,  0.977, _,    -00036, 000078, -00043,    
 0001.078125, 000977,  0.977, _,    -00037, 000082, -00045,    
 0001.080078, 000979,  0.979, _,    -00039, 000082, -00043,    
 0001.080078, 000978,  0.978, _,    -00037, 000080, -00037,    
 0001.082031, 000978,  0.978, _,    -00034, 000079, -00035,    
 0001.082031, 000977,  0.977, _,    -00034, 000079, -00036,    
 0001.083984, 000979,  0.979, _,    -00036, 000078, -00039,    
 0001.083984, 000977,  0.977, _,    -00039, 000075, -00036,    
 0001.085938, 000978,  0.978, _,    -00040, 000072, -00035,    
 0001.085938, 000978,  0.978, _,    -00039, 000076, -00036,    
 0001.087891, 000977,  0.977, _,    -00036, 000080, -00038,    
 0001.087891, 000976,  0.976, _,    -00036, 000083, -00036,    
 0001.089844, 000983,  0.983, _,    -00033, 000081, -00035,    
 0001.089844, 000979,  0.979, _,    -00027, 000075, -00036,    
 0001.091797, 000977,  0.977, _,    -00023, 000072, -00039,    
 0001.091797, 000978,  0.978, _,    -00021, 000069, -00035,    
 0001.093750, 000976,  0.976, _,    -00023, 000072, -00030,    
 0001.093750, 000977,  0.977, _,    -00028, 000075, -00029,    
 0001.095703, 000977,  0.977, _,    -00032, 000075, -00032,    
 0001.095703, 000977,  0.977, _,    -00034, 000071, -00032,    
 0001.097656, 000977,  0.977, _,    -00030, 000075, -00032,    
 0001.097656, 000976,  0.976, _,    -00029, 000082, -00032,    
 0001.099609, 000979,  0.979, _,    -00033, 000082, -00027,    
