 Mtime,       Mdur,    Mperc, M,    Mrx1, Mry1, Mrz1,     
 0005.376953, 002022,  0.101, _,    0111, 0148, -042,    
 0005.396484, 002025,  0.101, _,    0101, 0146, -040,    
 0005.417969, 002024,  0.101, _,    0105, 0145, -032,    
 0005.437500, 002027,  0.101, _,    0114, 0147, -039,    
 0005.457031, 002026,  0.101, _,    0112, 0147, -036,    
 0005.476562, 002029,  0.101, _,    0103, 0149, -036,    
 0005.498047, 002025,  0.101, _,    0106, 0150, -038,    
 0005.517578, 002022,  0.101, _,    0104, 0150, -035,    
 0005.537109, 002025,  0.101, _,    0103, 0147, -036,    
 0005.556641, 002024,  0.101, _,    0104, 0148, -035,    
 0005.578125, 002025,  0.101, _,    0108, 0146, -040,    
 0005.597656, 002024,  0.101, _,    0106, 0150, -033,    
 0005.617188, 002023,  0.101, _,    0108, 0148, -038,    
 0005.636719, 002024,  0.101, _,    0111, 0148, -042,    
 0005.658203, 002024,  0.101, _,    0107, 0147, -039,    
 0005.677734, 002025,  0.101, _,    0109, 0152, -032,    
 0005.697266, 002025,  0.101, _,    0107, 0147, -039,    
 0005.716797, 002084,  0.104, _,    0105, 0149, -036,    
 0005.738281, 002025,  0.101, _,    0106, 0155, -035,    
 0005.757812, 002025,  0.101, _,    0105, 0147, -041,    
 0005.777344, 002026,  0.101, _,    0100, 0145, -034,    
 0005.796875, 002024,  0.101, _,    0106, 0146, -040,    
 0005.816406, 002024,  0.101, _,    0114, 0147, -036,    
 0005.837891, 002026,  0.101, _,    0108, 0150, -038,    
 0005.857422, 002023,  0.101, _,    0108, 0141, -038,    
 0005.876953, 002023,  0.101, _,    0104, 0144, -038,    
 0005.896484, 002022,  0.101, _,    0108, 0150, -040,    
 0005.917969, 002029,  0.101, _,    0112, 0147, -029,    
 0005.937500, 002022,  0.101, _,    0103, 0152, -034,    
 0005.957031, 002030,  0.102, _,    0105, 0152, -032,    
 0005.976562, 002044,  0.102, _,    0108, 0153, -035,    
 0005.998047, 002025,  0.101, _,    0106, 0148, -035,    
 0006.017578, 002025,  0.101, _,    0105, 0145, -039,    
 0006.037109, 002026,  0.101, _,    0103, 0154, -034,    
 0006.056641, 002026,  0.101, _,    0106, 0150, -035,    
 0006.078125, 002023,  0.101, _,    0100, 0147, -036,    
 0006.097656, 002025,  0.101, _,    0106, 0148, -040,    
 0006.117188, 002025,  0.101, _,    0104, 0150, -038,    
 0006.136719, 002022,  0.101, _,    0103, 0152, -027,    
 0006.158203, 002025,  0.101, _,    0109, 0152, -039,    
 0006.177734, 002022,  0.101, _,    0101, 0150, -038,    
 0006.197266, 002025,  0.101, _,    0109, 0147, -044,    
 0006.216797, 002089,  0.104, _,    0105, 0152, -039,    
 0006.238281, 002026,  0.101, _,    0101, 0148, -035,    
 0006.257812, 002022,  0.101, _,    0105, 0149, -036,    
 0006.277344, 002025,  0.101, _,    0101, 0153, -033,    
 0006.296875, 002023,  0.101, _,    0104, 0141, -040,    
 0006.316406, 002023,  0.101, _,    0106, 0153, -038,    
 0006.337891, 002024,  0.101, _,    0108, 0150, -038,    
 0006.357422, 002024,  0.101, _,    0112, 0152, -034,    
 0006.376953, 002025,  0.101, _,    0106, 0150, -038,    
 0006.396484, 002024,  0.101, _,    0107, 0147, -036,    
 0006.417969, 002022,  0.101, _,    0107, 0147, -044,    
 0006.437500, 002024,  0.101, _,    0101, 0144, -035,    
 0006.457031, 002023,  0.101, _,    0109, 0154, -036,    
 0006.476562, 002035,  0.102, _,    0105, 0154, -041,    
 0006.498047, 002024,  0.101, _,    0108, 0150, -040,    
 0006.517578, 002028,  0.101, _,    0107, 0145, -034,    
 0006.537109, 002025,  0.101, _,    0105, 0147, -039,    
 0006.556641, 002020,  0.101, _,    0111, 0146, -042,    
 0006.578125, 002025,  0.101, _,    0105, 0145, -036,    
 0006.597656, 002023,  0.101, _,    0104, 0146, -030,    
 0006.617188, 002021,  0.101, _,    0105, 0145, -034,    
 0006.636719, 002028,  0.101, _,    0106, 0150, -040,    
 0006.658203, 002024,  0.101, _,    0111, 0150, -040,    
 0006.677734, 002024,  0.101, _,    0103, 0149, -041,    
 0006.697266, 002024,  0.101, _,    0100, 0152, -039,    
 0006.716797, 002028,  0.101, _,    0104, 0146, -035,    
 0006.738281, 002030,  0.102, _,    0108, 0148, -038,    
 0006.757812, 002024,  0.101, _,    0106, 0150, -035,    
 0006.777344, 002027,  0.101, _,    0108, 0153, -038,    
 0006.796875, 002027,  0.101, _,    0108, 0148, -042,    
 0006.816406, 002025,  0.101, _,    0103, 0142, -041,    
 0006.837891, 002024,  0.101, _,    0108, 0146, -035,    
 0006.857422, 002024,  0.101, _,    0112, 0147, -036,    
 0006.876953, 002023,  0.101, _,    0099, 0148, -038,    
 0006.896484, 002022,  0.101, _,    0106, 0146, -038,    
 0006.917969, 002024,  0.101, _,    0105, 0149, -039,    
 0006.937500, 002025,  0.101, _,    0103, 0145, -039,    
 0006.957031, 002026,  0.101, _,    0103, 0149, -039,    
 0006.976562, 002023,  0.101, _,    0111, 0144, -035,    
 0006.998047, 002083,  0.104, _,    0103, 0149, -041,    
 0007.017578, 002025,  0.101, _,    0107, 0149, -041,    
 0007.037109, 002026,  0.101, _,    0107, 0149, -041,    
 0007.056641, 002023,  0.101, _,    0103, 0145, -036,    
 0007.078125, 002022,  0.101, _,    0106, 0148, -040,    
 0007.097656, 002026,  0.101, _,    0105, 0149, -034,    
 0007.117188, 002025,  0.101, _,    0101, 0150, -042,    
 0007.136719, 002022,  0.101, _,    0106, 0148, -035,    
 0007.158203, 002026,  0.101, _,    0109, 0149, -041,    
 0007.177734, 002024,  0.101, _,    0109, 0147, -034,    
 0007.197266, 002023,  0.101, _,    0108, 0150, -033,    
 0007.216797, 002023,  0.101, _,    0106, 0148, -038,    
 0007.238281, 002027,  0.101, _,    0106, 0144, -038,    
 0007.257812, 002046,  0.102, _,    0108, 0153, -033,    
 0007.277344, 002021,  0.101, _,    0103, 0152, -036,    
 0007.296875, 002023,  0.101, _,    0099, 0146, -042,    
 0007.316406, 002023,  0.101, _,    0104, 0148, -038,    
 0007.337891, 002028,  0.101, _,    0101, 0150, -030,    
 0007.357422, 002023,  0.101, _,    0104, 0148, -033,    
 0007.376953, 002026,  0.101, _,    0106, 0150, -038,    
 0007.396484, 002028,  0.101, _,    0108, 0148, -040,    
 0007.417969, 002020,  0.101, _,    0104, 0141, -033,    
 0007.437500, 002026,  0.101, _,    0107, 0149, -036,    
 0007.457031, 002024,  0.101, _,    0111, 0150, -040,    
 0007.476562, 002026,  0.101, _,    0105, 0145, -039,    
 0007.498047, 002088,  0.104, _,    0107, 0147, -039,    
 0007.517578, 002028,  0.101, _,    0106, 0146, -038,    
 0007.537109, 002025,  0.101, _,    0103, 0147, -036,    
 0007.556641, 002024,  0.101, _,    0109, 0145, -046,    
 0007.578125, 002026,  0.101, _,    0101, 0150, -038,    
 0007.597656, 002023,  0.101, _,    0101, 0150, -035,    
 0007.617188, 002023,  0.101, _,    0106, 0148, -040,    
 0007.636719, 002022,  0.101, _,    0103, 0152, -032,    
 0007.658203, 002026,  0.101, _,    0108, 0146, -030,    
 0007.677734, 002024,  0.101, _,    0111, 0146, -033,    
 0007.697266, 002024,  0.101, _,    0107, 0152, -036,    
 0007.716797, 002026,  0.101, _,    0104, 0148, -033,    
 0007.738281, 002026,  0.101, _,    0100, 0149, -039,    
 0007.757812, 002036,  0.102, _,    0105, 0147, -041,    
 0007.777344, 002030,  0.102, _,    0103, 0152, -036,    
 0007.796875, 002026,  0.101, _,    0099, 0146, -040,    
 0007.816406, 002027,  0.101, _,    0104, 0148, -038,    
 0007.837891, 002024,  0.101, _,    0106, 0146, -044,    
 0007.857422, 002023,  0.101, _,    0103, 0149, -039,    
 0007.876953, 002024,  0.101, _,    0107, 0147, -044,    
 0007.896484, 002025,  0.101, _,    0111, 0146, -028,    
 0007.917969, 002024,  0.101, _,    0108, 0148, -035,    
 0007.937500, 002024,  0.101, _,    0104, 0153, -038,    
 0007.957031, 002025,  0.101, _,    0107, 0149, -036,    
 0007.976562, 002025,  0.101, _,    0100, 0145, -034,    
 0007.998047, 002021,  0.101, _,    0107, 0149, -036,    
 0008.017578, 002031,  0.102, _,    0107, 0152, -041,    
 0008.037109, 002027,  0.101, _,    0104, 0155, -040,    
 0008.056641, 002024,  0.101, _,    0103, 0149, -041,    
