 Atime,       Adur,    Aperc, A,    Arx1,   Ary1,   Arz1,    Aax1,   Aay1,   Aaz1,
 0002.596039, 000993,  0.099, _,    -00225, -00018, 008318,    -00194.80, -00008.97, 008347.52,    
 0002.606049, 000989,  0.099, _,    -00164, -00008, 008330,    -00189.23, -00008.59, 008342.95,    
 0002.616058, 000986,  0.099, _,    -00221, -00004, 008367,    -00193.36, -00007.48, 008347.78,    
 0002.626038, 000991,  0.099, _,    -00218, -00042, 008343,    -00201.45, -00013.83, 008348.50,    
 0002.636047, 000987,  0.099, _,    -00200, -00018, 008366,    -00199.92, -00015.86, 008351.66,    
 0002.646057, 000987,  0.099, _,    -00174, 000000, 008280,    -00195.73, -00011.62, 008338.92,    
 0002.656036, 000984,  0.098, _,    -00201, -00013, 008396,    -00195.23, -00012.67, 008346.05,    
 0002.666046, 000986,  0.099, _,    -00146, -00005, 008303,    -00186.94, -00011.31, 008342.91,    
 0002.676056, 000985,  0.099, _,    -00119, 000007, 008350,    -00170.12, -00007.73, 008337.09,    
 0002.686035, 000986,  0.099, _,    -00223, -00001, 008323,    -00180.58, -00005.88, 008338.91,    
 0002.696045, 000986,  0.099, _,    -00142, 000036, 008418,    -00174.89, 000002.80, 008350.45,    
 0002.706055, 000985,  0.099, _,    -00222, -00005, 008349,    -00181.12, 000002.95, 008357.12,    
 0002.716034, 000986,  0.099, _,    -00164, 000009, 008368,    -00181.39, 000002.67, 008354.02,    
 0002.726044, 000984,  0.098, _,    -00199, -00025, 008347,    -00180.77, -00001.03, 008357.73,    
 0002.736053, 000986,  0.099, _,    -00194, -00003, 008320,    -00187.27, -00003.70, 008345.81,    
 0002.746063, 000984,  0.098, _,    -00214, -00018, 008390,    -00189.41, -00004.41, 008357.00,    
 0002.756042, 000984,  0.098, _,    -00180, -00048, 008307,    -00190.56, -00015.09, 008346.67,    
 0002.766052, 000984,  0.098, _,    -00134, -00025, 008384,    -00176.31, -00017.34, 008352.88,    
 0002.776062, 000985,  0.099, _,    -00195, -00032, 008384,    -00180.42, -00020.70, 008362.20,    
 0002.786041, 000991,  0.099, _,    -00190, -00038, 008317,    -00183.06, -00024.67, 008352.23,    
 0002.796051, 000986,  0.099, _,    -00176, -00013, 008279,    -00182.44, -00023.28, 008336.77,    
 0002.806061, 000985,  0.099, _,    -00191, -00011, 008391,    -00183.36, -00020.33, 008345.31,    
 0002.816040, 000985,  0.099, _,    -00232, -00033, 008402,    -00194.16, -00023.67, 008360.30,    
 0002.826050, 000989,  0.099, _,    -00189, 000018, 008325,    -00194.61, -00015.84, 008351.94,    
 0002.836060, 000988,  0.099, _,    -00200, -00056, 008348,    -00194.36, -00022.38, 008350.59,    
 0002.846039, 000987,  0.099, _,    -00153, -00035, 008309,    -00187.23, -00028.12, 008342.22,    
 0002.856049, 000988,  0.099, _,    -00150, -00012, 008394,    -00176.81, -00022.94, 008351.70,    
 0002.866058, 000985,  0.099, _,    -00145, -00021, 008425,    -00171.08, -00023.70, 008369.39,    
 0002.876038, 000987,  0.099, _,    -00193, 000033, 008342,    -00173.33, -00010.95, 008364.05,    
 0002.886047, 000985,  0.099, _,    -00165, 000000, 008324,    -00174.39, -00007.08, 008354.95,    
 0002.896057, 000984,  0.098, _,    -00214, -00021, 008325,    -00180.08, -00010.39, 008348.27,    
 0002.906036, 000985,  0.099, _,    -00178, -00051, 008395,    -00182.86, -00018.19, 008357.47,    
 0002.916046, 000986,  0.099, _,    -00195, -00039, 008349,    -00182.52, -00024.05, 008358.55,    
 0002.926056, 000986,  0.099, _,    -00183, -00008, 008407,    -00185.19, -00020.59, 008365.88,    
 0002.936035, 000985,  0.099, _,    -00185, -00003, 008397,    -00182.38, -00016.62, 008375.45,    
 0002.946045, 000987,  0.099, _,    -00200, -00002, 008384,    -00187.59, -00013.42, 008376.47,    
 0002.956055, 000986,  0.099, _,    -00189, 000004, 008342,    -00187.22, -00009.34, 008371.47,    
 0002.966034, 000984,  0.098, _,    -00169, -00007, 008371,    -00184.55, -00007.77, 008368.88,    
 0002.976044, 000984,  0.098, _,    -00190, 000001, 008343,    -00184.91, -00006.52, 008365.73,    
 0002.986053, 001001,  0.100, _,    -00193, -00039, 008437,    -00188.19, -00012.42, 008376.92,    
 0002.996063, 000986,  0.099, _,    -00215, -00008, 008403,    -00192.97, -00013.80, 008387.67,    
 0003.006042, 000989,  0.099, _,    -00189, -00033, 008391,    -00193.89, -00016.14, 008385.97,    
 0003.016052, 000986,  0.099, _,    -00219, 000005, 008374,    -00197.48, -00013.69, 008386.95,    
 0003.026062, 000989,  0.099, _,    -00195, -00014, 008389,    -00199.23, -00010.95, 008384.81,    
 0003.036041, 000990,  0.099, _,    -00220, 000012, 008316,    -00201.91, -00007.97, 008373.17,    
 0003.046051, 000985,  0.099, _,    -00211, 000003, 008301,    -00206.02, -00003.23, 008353.78,    
 0003.056061, 000986,  0.099, _,    -00189, -00029, 008377,    -00201.42, -00010.08, 008358.64,    
 0003.066040, 000987,  0.099, _,    -00201, -00008, 008312,    -00201.94, -00009.50, 008349.42,    
 0003.076050, 000984,  0.098, _,    -00162, -00009, 008400,    -00193.64, -00009.73, 008357.72,    
 0003.086060, 000986,  0.099, _,    -00181, -00030, 008386,    -00190.11, -00013.67, 008366.75,    
 0003.096039, 000984,  0.098, _,    -00200, -00021, 008380,    -00192.59, -00016.22, 008367.64,    
 0003.106049, 000987,  0.099, _,    -00161, -00029, 008338,    -00186.12, -00018.14, 008363.09,    
 0003.116058, 000984,  0.098, _,    -00203, -00025, 008406,    -00188.02, -00020.39, 008368.27,    
 0003.126038, 000984,  0.098, _,    -00192, -00016, 008393,    -00190.38, -00019.03, 008376.95,    
 0003.136047, 000987,  0.099, _,    -00189, -00023, 008391,    -00188.66, -00020.30, 008377.67,    
 0003.146057, 000984,  0.098, _,    -00202, 000017, 008361,    -00192.00, -00013.00, 008376.73,    
 0003.156036, 000985,  0.099, _,    -00187, -00010, 008354,    -00190.53, -00011.00, 008370.11,    
 0003.166046, 000984,  0.098, _,    -00209, -00035, 008356,    -00193.91, -00017.23, 008369.62,    
 0003.176056, 000986,  0.099, _,    -00166, 000020, 008357,    -00189.20, -00009.61, 008365.39,    
 0003.186035, 000985,  0.099, _,    -00196, -00021, 008364,    -00188.73, -00010.39, 008366.12,    
