 Gtime,       Gdur,    Gperc, G,    Grx1,   Gry1,   Grz1,    Gax1,   Gay1,   Gaz1
 0002.733459, 000990,  0.099, _,    -00033, 000078, -00029,    -00035.44, 000074.50, -00034.77,    
 0002.743439, 000986,  0.099, _,    -00034, 000077, -00026,    -00035.00, 000075.38, -00032.56,    
 0002.753448, 000986,  0.099, _,    -00040, 000070, -00035,    -00036.03, 000074.08, -00033.12,    
 0002.763458, 000986,  0.099, _,    -00035, 000079, -00036,    -00035.89, 000075.02, -00033.72,    
 0002.773438, 000987,  0.099, _,    -00027, 000081, -00038,    -00034.03, 000076.45, -00034.59,    
 0002.783447, 001005,  0.101, _,    -00037, 000064, -00036,    -00034.39, 000074.00, -00034.94,    
 0002.793457, 000989,  0.099, _,    -00036, 000072, -00033,    -00035.02, 000073.03, -00034.48,    
 0002.803436, 000987,  0.099, _,    -00037, 000075, -00031,    -00035.30, 000073.77, -00033.75,    
 0002.813446, 000987,  0.099, _,    -00037, 000075, -00032,    -00035.83, 000073.83, -00033.31,    
 0002.823456, 000995,  0.100, _,    -00039, 000074, -00046,    -00036.31, 000074.09, -00035.83,    
 0002.833466, 000986,  0.099, _,    -00033, 000072, -00037,    -00035.94, 000073.50, -00036.61,    
 0002.843445, 000987,  0.099, _,    -00038, 000068, -00033,    -00036.02, 000072.42, -00035.52,    
 0002.853455, 000987,  0.099, _,    -00040, 000075, -00037,    -00037.14, 000072.69, -00036.02,    
 0002.863464, 000987,  0.099, _,    -00035, 000075, -00031,    -00036.64, 000073.36, -00035.08,    
 0002.873444, 000985,  0.099, _,    -00038, 000081, -00038,    -00036.92, 000074.75, -00035.52,    
 0002.883453, 000986,  0.099, _,    -00031, 000083, -00033,    -00035.78, 000076.84, -00035.20,    
 0002.893463, 000985,  0.099, _,    -00040, 000073, -00034,    -00036.47, 000076.02, -00034.64,    
 0002.903442, 000986,  0.099, _,    -00037, 000071, -00033,    -00036.97, 000074.98, -00034.52,    
 0002.913452, 000987,  0.099, _,    -00036, 000076, -00038,    -00036.47, 000075.16, -00035.05,    
 0002.923462, 000986,  0.099, _,    -00039, 000073, -00039,    -00037.17, 000074.81, -00036.16,    
 0002.933441, 000986,  0.099, _,    -00035, 000081, -00035,    -00036.69, 000075.91, -00035.86,    
 0002.943451, 000985,  0.099, _,    -00040, 000070, -00029,    -00037.31, 000075.11, -00034.41,    
 0002.953461, 000985,  0.099, _,    -00036, 000076, -00032,    -00037.22, 000074.81, -00033.58,    
 0002.963440, 000986,  0.099, _,    -00045, 000072, -00033,    -00038.62, 000074.80, -00033.64,    
 0002.973450, 000984,  0.098, _,    -00037, 000074, -00033,    -00038.72, 000074.14, -00033.31,    
 0002.983459, 000984,  0.098, _,    -00034, 000074, -00029,    -00037.41, 000074.41, -00032.53,    
 0002.993439, 000996,  0.100, _,    -00036, 000073, -00028,    -00037.27, 000073.77, -00031.33,    
