 Mtime,       Mdur,    Mperc, M,    Mrx1, Mry1, Mrz1,    Max1,    May1,    Maz1,       Mcx1,    Mcy1,    Mcz1,   
 0015.926559, 000398,  0.020, _,    0085, 0171, -035,    0085.11, 0173.75, -035.56,    -0.3433, -0.3282, 00.7752,    
 0015.946548, 000396,  0.020, _,    0083, 0169, -035,    0084.95, 0172.64, -035.55,    -0.3424, -0.3220, 00.7753,    
 0015.966553, 000394,  0.020, _,    0083, 0171, -028,    0084.20, 0172.20, -033.83,    -0.3382, -0.3196, 00.7851,    
 0015.986557, 000396,  0.020, _,    0084, 0172, -032,    0084.34, 0172.16, -033.23,    -0.3390, -0.3193, 00.7884,    
 0016.006561, 000398,  0.020, _,    0085, 0171, -033,    0084.33, 0171.86, -033.20,    -0.3389, -0.3177, 00.7886,    
 0016.026566, 000420,  0.021, _,    0085, 0171, -033,    0084.69, 0171.64, -033.09,    -0.3409, -0.3164, 00.7892,    
 0016.046555, 000400,  0.020, _,    0086, 0172, -036,    0084.89, 0171.67, -033.73,    -0.3421, -0.3166, 00.7856,    
 0016.066559, 000397,  0.020, _,    0090, 0174, -035,    0086.09, 0172.11, -034.03,    -0.3488, -0.3190, 00.7839,    
 0016.086548, 000396,  0.020, _,    0082, 0175, -036,    0085.34, 0172.75, -034.42,    -0.3446, -0.3226, 00.7817,    
 0016.106552, 000403,  0.020, _,    0090, 0171, -040,    0086.05, 0172.41, -035.59,    -0.3486, -0.3207, 00.7750,    
 0016.126556, 000397,  0.020, _,    0083, 0174, -038,    0085.78, 0172.61, -036.20,    -0.3471, -0.3218, 00.7716,    
 0016.146561, 000396,  0.020, _,    0086, 0175, -039,    0085.39, 0173.23, -036.75,    -0.3449, -0.3253, 00.7685,    
 0016.166550, 000393,  0.020, _,    0090, 0171, -038,    0086.70, 0172.78, -037.19,    -0.3523, -0.3228, 00.7660,    
 0016.186554, 000401,  0.020, _,    0089, 0177, -039,    0087.09, 0173.61, -037.53,    -0.3545, -0.3274, 00.7640,    
 0016.206558, 000402,  0.020, _,    0078, 0176, -038,    0085.48, 0174.34, -037.86,    -0.3454, -0.3315, 00.7622,    
 0016.226547, 000396,  0.020, _,    0086, 0172, -036,    0085.11, 0173.83, -037.48,    -0.3433, -0.3286, 00.7643,    
 0016.246552, 000396,  0.020, _,    0088, 0174, -038,    0086.12, 0173.88, -037.62,    -0.3490, -0.3289, 00.7635,    
 0016.266556, 000395,  0.020, _,    0084, 0168, -036,    0085.47, 0172.73, -037.39,    -0.3453, -0.3225, 00.7648,    
 0016.286560, 000394,  0.020, _,    0081, 0171, -033,    0084.66, 0172.14, -036.44,    -0.3408, -0.3192, 00.7702,    
 0016.306564, 000401,  0.020, _,    0086, 0172, -041,    0084.59, 0172.23, -037.27,    -0.3404, -0.3197, 00.7655,    
 0016.326553, 000397,  0.020, _,    0082, 0170, -034,    0084.38, 0171.62, -036.88,    -0.3392, -0.3163, 00.7678,    
 0016.346558, 000397,  0.020, _,    0085, 0169, -040,    0084.16, 0171.09, -037.14,    -0.3380, -0.3134, 00.7662,    
 0016.366547, 000399,  0.020, _,    0081, 0167, -033,    0083.73, 0170.14, -036.67,    -0.3356, -0.3080, 00.7689,    
 0016.386551, 000397,  0.020, _,    0085, 0171, -035,    0083.62, 0170.17, -035.83,    -0.3350, -0.3082, 00.7737,    
 0016.406555, 000404,  0.020, _,    0085, 0174, -033,    0084.19, 0171.02, -035.55,    -0.3381, -0.3129, 00.7753,    
 0016.426559, 000396,  0.020, _,    0085, 0174, -038,    0084.09, 0171.62, -035.64,    -0.3376, -0.3163, 00.7748,    
