 timestamp,   dur,     perc,  X,    rGx1,   rGy1,   rGz1,      
 0001.489258, 000978,  0.978, _,    -00037, 000074, -00036,    
 0001.490234, 000977,  0.977, _,    -00037, 000078, -00033,    
 0001.491211, 000977,  0.977, _,    -00037, 000079, -00033,    
 0001.492188, 000976,  0.976, _,    -00040, 000076, -00036,    
 0001.493164, 000976,  0.976, _,    -00040, 000073, -00037,    
 0001.494141, 000975,  0.975, _,    -00036, 000074, -00036,    
 0001.495117, 000975,  0.975, _,    -00035, 000080, -00034,    
 0001.496094, 000975,  0.975, _,    -00039, 000086, -00033,    
 0001.497070, 000975,  0.975, _,    -00041, 000086, -00035,    
 0001.498047, 000975,  0.975, _,    -00041, 000085, -00035,    
 0001.499023, 000978,  0.978, _,    -00040, 000081, -00034,    
 0001.500000, 000976,  0.976, _,    -00036, 000072, -00032,    
 0001.501465, 000975,  0.975, _,    -00031, 000065, -00033,    
 0001.502441, 000975,  0.975, _,    -00030, 000069, -00035,    
 0001.503418, 000975,  0.975, _,    -00032, 000081, -00035,    
 0001.504395, 000975,  0.975, _,    -00036, 000084, -00036,    
 0001.505371, 000975,  0.975, _,    -00037, 000080, -00040,    
 0001.506348, 000974,  0.974, _,    -00035, 000077, -00036,    
 0001.507324, 000975,  0.975, _,    -00036, 000077, -00034,    
 0001.508301, 000975,  0.975, _,    -00037, 000076, -00034,    
 0001.509277, 000976,  0.976, _,    -00034, 000078, -00029,    
 0001.510254, 000975,  0.975, _,    -00035, 000076, -00026,    
 0001.511230, 000975,  0.975, _,    -00040, 000075, -00028,    
 0001.512207, 000977,  0.977, _,    -00042, 000077, -00032,    
 0001.513184, 000975,  0.975, _,    -00042, 000080, -00032,    
 0001.514160, 000977,  0.977, _,    -00038, 000079, -00029,    
 0001.515137, 000975,  0.975, _,    -00034, 000075, -00028,    
 0001.516113, 000977,  0.977, _,    -00036, 000074, -00030,    
 0001.517090, 000975,  0.975, _,    -00033, 000077, -00035,    
 0001.518066, 000974,  0.974, _,    -00029, 000085, -00038,    
 0001.519043, 000976,  0.976, _,    -00031, 000089, -00032,    
 0001.520020, 000976,  0.976, _,    -00034, 000084, -00029,    
 0001.520996, 000976,  0.976, _,    -00038, 000076, -00030,    
 0001.521973, 000975,  0.975, _,    -00037, 000070, -00036,    
 0001.522949, 000975,  0.975, _,    -00036, 000074, -00038,    
 0001.524414, 000976,  0.976, _,    -00036, 000075, -00036,    
 0001.525391, 000974,  0.974, _,    -00037, 000075, -00035,    
 0001.526367, 000974,  0.974, _,    -00035, 000080, -00035,    
 0001.527344, 000975,  0.975, _,    -00032, 000080, -00037,    
 0001.528320, 000977,  0.977, _,    -00034, 000076, -00040,    
 0001.529297, 000978,  0.978, _,    -00037, 000076, -00040,    
 0001.530273, 000976,  0.976, _,    -00036, 000077, -00040,    
 0001.531250, 000975,  0.975, _,    -00035, 000081, -00039,    
 0001.532227, 000973,  0.973, _,    -00036, 000079, -00035,    
 0001.533203, 000975,  0.975, _,    -00037, 000073, -00032,    
 0001.534180, 000975,  0.975, _,    -00038, 000069, -00031,    
