 time, start,  dur,     perc,  X,    rMx1, rMy1, rMz1,    rAx1,   rAy1,   rAz1,      rGx1,   rGy1,   rGz1,      
 8824, 880987, 002953,  2.953, X,    0091, 0161, -022,    -00198, 000005, 008367,    -00029, 000086, -00026,    
 8824, 883968, 002957,  2.957, X,    0088, 0153, -026,    -00210, -00010, 008422,    -00038, 000075, -00032,    
 8824, 886953, 002951,  2.951, X,    0088, 0153, -026,    -00197, 000007, 008345,    -00036, 000072, -00035,    
 8824, 889931, 002955,  2.955, X,    0088, 0153, -026,    -00222, -00004, 008418,    -00044, 000075, -00036,    
 8824, 892914, 002952,  2.952, X,    0090, 0157, -026,    -00223, -00020, 008413,    -00033, 000073, -00040,    
 8824, 895894, 002956,  2.956, X,    0090, 0157, -026,    -00231, -00031, 008344,    -00032, 000074, -00031,    
 8824, 898879, 002961,  2.961, X,    0090, 0157, -026,    -00208, -00046, 008363,    -00038, 000084, -00031,    
 8824, 901868, 002956,  2.956, X,    0085, 0157, -030,    -00193, -00040, 008381,    -00040, 000083, -00033,    
 8824, 904902, 002964,  2.964, X,    0085, 0157, -030,    -00226, -00020, 008347,    -00028, 000078, -00033,    
 8824, 907898, 002958,  2.958, X,    0085, 0157, -030,    -00194, 000007, 008384,    -00031, 000075, -00037,    
 8824, 910886, 002960,  2.960, X,    0085, 0157, -030,    -00223, -00014, 008354,    -00035, 000088, -00031,    
 8824, 913874, 002959,  2.959, X,    0090, 0155, -026,    -00236, -00023, 008401,    -00034, 000074, -00031,    
 8824, 916861, 002960,  2.960, X,    0090, 0155, -026,    -00221, -00032, 008376,    -00034, 000079, -00033,    
 8824, 919849, 002955,  2.955, X,    0090, 0155, -026,    -00227, -00005, 008428,    -00035, 000074, -00036,    
 8824, 922832, 002952,  2.952, X,    0088, 0157, -018,    -00226, -00031, 008390,    -00033, 000077, -00026,    
 8824, 925813, 002950,  2.950, X,    0088, 0157, -018,    -00189, -00041, 008389,    -00035, 000080, -00034,    
 8824, 928791, 002953,  2.953, X,    0088, 0157, -018,    -00203, -00034, 008457,    -00039, 000076, -00040,    
 8824, 931772, 002952,  2.952, X,    0089, 0161, -027,    -00207, -00040, 008334,    -00032, 000080, -00031,    
 8824, 934753, 002951,  2.951, X,    0089, 0161, -027,    -00186, -00006, 008398,    -00030, 000072, -00032,    
 8824, 937732, 002951,  2.951, X,    0089, 0161, -027,    -00260, -00041, 008315,    -00041, 000070, -00026,    
 8824, 940712, 002952,  2.952, X,    0089, 0161, -027,    -00218, -00022, 008393,    -00026, 000074, -00034,    
 8824, 943692, 002950,  2.950, X,    0086, 0154, -024,    -00192, 000032, 008394,    -00035, 000074, -00033,    
 8824, 946670, 002951,  2.951, X,    0086, 0154, -024,    -00209, -00016, 008363,    -00035, 000072, -00031,    
 8824, 949650, 002954,  2.954, X,    0086, 0154, -024,    -00205, -00021, 008399,    -00034, 000076, -00032,    
 8824, 952632, 002957,  2.957, X,    0085, 0160, -023,    -00201, -00026, 008347,    -00036, 000070, -00037,    
 8824, 955617, 002951,  2.951, X,    0085, 0160, -023,    -00215, -00026, 008455,    -00038, 000071, -00031,    
 8824, 958597, 002954,  2.954, X,    0085, 0160, -023,    -00198, -00019, 008430,    -00039, 000081, -00031,    
 8824, 961578, 002953,  2.953, X,    0091, 0156, -024,    -00175, -00002, 008410,    -00035, 000084, -00032,    
 8824, 964560, 002951,  2.951, X,    0091, 0156, -024,    -00199, -00030, 008360,    -00040, 000077, -00032,    
 8824, 967539, 002954,  2.954, X,    0091, 0156, -024,    -00186, -00003, 008381,    -00030, 000073, -00028,    
 8824, 970521, 002954,  2.954, X,    0091, 0156, -024,    -00232, -00043, 008371,    -00041, 000074, -00037,    
 8824, 973503, 002953,  2.953, X,    0090, 0157, -026,    -00176, 000008, 008391,    -00025, 000074, -00036,    
 8824, 976485, 002951,  2.951, X,    0090, 0157, -026,    -00207, -00064, 008365,    -00030, 000075, -00029,    
 8824, 979464, 002955,  2.955, X,    0090, 0157, -026,    -00228, -00019, 008353,    -00035, 000077, -00040,    
 8824, 982448, 002952,  2.952, X,    0091, 0152, -024,    -00185, -00041, 008385,    -00039, 000079, -00034,    
 8824, 985428, 002951,  2.951, X,    0091, 0152, -024,    -00170, -00021, 008386,    -00040, 000075, -00035,    
 8824, 988407, 002956,  2.956, X,    0091, 0152, -024,    -00219, -00028, 008345,    -00040, 000082, -00030,    
 8824, 991391, 002953,  2.953, X,    0091, 0152, -024,    -00209, -00016, 008379,    -00030, 000071, -00028,    
 8824, 994372, 002951,  2.951, X,    0091, 0159, -024,    -00225, 000018, 008309,    -00033, 000075, -00034,    
 8824, 997351, 002958,  2.958, X,    0091, 0159, -024,    -00196, -00026, 008374,    -00031, 000068, -00028,    
 8825, 000337, 002954,  2.954, X,    0091, 0159, -024,    -00206, -00051, 008320,    -00036, 000084, -00035,    
 8825, 003319, 002953,  2.953, X,    0091, 0156, -022,    -00218, 000001, 008324,    -00035, 000080, -00037,    
 8825, 006300, 002951,  2.951, X,    0091, 0156, -022,    -00211, -00051, 008355,    -00039, 000072, -00031,    
 8825, 009279, 002953,  2.953, X,    0091, 0156, -022,    -00237, -00047, 008364,    -00037, 000082, -00029,    
 8825, 012307, 002963,  2.963, X,    0096, 0154, -027,    -00215, -00046, 008375,    -00040, 000078, -00029,    
 8825, 015301, 002954,  2.954, X,    0096, 0154, -027,    -00219, -00016, 008430,    -00038, 000071, -00038,    
 8825, 018283, 002958,  2.958, X,    0096, 0154, -027,    -00182, -00027, 008391,    -00027, 000080, -00035,    
 8825, 021270, 002957,  2.957, X,    0096, 0154, -027,    -00197, -00027, 008309,    -00035, 000083, -00037,    
 8825, 024255, 002955,  2.955, X,    0090, 0162, -030,    -00203, -00039, 008316,    -00034, 000077, -00039,    
 8825, 027238, 002956,  2.956, X,    0090, 0162, -030,    -00223, -00001, 008380,    -00044, 000077, -00036,    
 8825, 030222, 002953,  2.953, X,    0090, 0162, -030,    -00207, -00005, 008318,    -00031, 000078, -00023,    
 8825, 033204, 002953,  2.953, X,    0091, 0156, -022,    -00183, 000007, 008343,    -00046, 000071, -00028,    
 8825, 036186, 002953,  2.953, X,    0091, 0156, -022,    -00246, -00055, 008353,    -00038, 000078, -00032,    
 8825, 039167, 002955,  2.955, X,    0091, 0156, -022,    -00208, -00030, 008405,    -00033, 000084, -00031,    
 8825, 042150, 002952,  2.952, X,    0094, 0155, -026,    -00205, 000003, 008420,    -00049, 000073, -00035,    
