 time, start,  dur,     perc,  X,    rGx1,   rGy1,   rGz1,      
 8626, 199999, 001893,  1.893, X,    -00029, 000078, -00033,    
 8626, 201914, 001877,  1.877, X,    -00035, 000077, -00035,    
 8626, 203812, 001880,  1.880, X,    -00041, 000077, -00033,    
 8626, 205713, 001882,  1.882, X,    -00038, 000072, -00030,    
 8626, 207616, 001874,  1.874, X,    -00033, 000071, -00032,    
 8626, 209512, 001879,  1.879, X,    -00035, 000074, -00031,    
 8626, 211413, 001875,  1.875, X,    -00036, 000079, -00028,    
 8626, 213310, 001874,  1.874, X,    -00038, 000077, -00032,    
 8626, 215206, 001876,  1.876, X,    -00038, 000073, -00036,    
 8626, 217103, 001877,  1.877, X,    -00039, 000074, -00035,    
 8626, 219001, 001879,  1.879, X,    -00025, 000069, -00028,    
