 time, start,  dur,     perc,  X,    rMx1, rMy1, rMz1,    
 7179, 268579, 001156,  1.156, X,    0097, 0153, -023,    
 7179, 269756, 001170,  1.170, X,    0097, 0153, -023,    
 7179, 270947, 001159,  1.159, X,    0097, 0153, -023,    
 7179, 272126, 001158,  1.158, X,    0097, 0153, -023,    
 7179, 273305, 001158,  1.158, X,    0097, 0153, -023,    
 7179, 274484, 001156,  1.156, X,    0089, 0156, -029,    
 7179, 275661, 001157,  1.157, X,    0089, 0156, -029,    
 7179, 276839, 001157,  1.157, X,    0089, 0156, -029,    
 7179, 278016, 001157,  1.157, X,    0089, 0156, -029,    
 7179, 279193, 001159,  1.159, X,    0089, 0156, -029,    
 7179, 280374, 001159,  1.159, X,    0089, 0156, -029,    
 7179, 281554, 001157,  1.157, X,    0089, 0156, -029,    
 7179, 282731, 001157,  1.157, X,    0089, 0156, -029,    
 7179, 283909, 001156,  1.156, X,    0092, 0156, -029,    
 7179, 285086, 001157,  1.157, X,    0092, 0155, -028,    
 7179, 286264, 001156,  1.156, X,    0092, 0155, -028,    
 7179, 287440, 001157,  1.157, X,    0092, 0155, -028,    
 7179, 288618, 001156,  1.156, X,    0092, 0155, -028,    
 7179, 289794, 001159,  1.159, X,    0092, 0155, -028,    
 7179, 290974, 001158,  1.158, X,    0092, 0155, -028,    
 7179, 292153, 001164,  1.164, X,    0092, 0155, -028,    
 7179, 293338, 001158,  1.158, X,    0092, 0155, -028,    
 7179, 294517, 001159,  1.159, X,    0092, 0153, -026,    
 7179, 295696, 001158,  1.158, X,    0092, 0153, -026,    
 7179, 296874, 001156,  1.156, X,    0092, 0153, -026,    
 7179, 298051, 001157,  1.157, X,    0092, 0153, -026,    
 7179, 299228, 001159,  1.159, X,    0092, 0153, -026,    
 7179, 300407, 001159,  1.159, X,    0092, 0153, -026,    
 7179, 301588, 001157,  1.157, X,    0092, 0153, -026,    
 7179, 302766, 001157,  1.157, X,    0092, 0153, -026,    
 7179, 303943, 001157,  1.157, X,    0096, 0163, -026,    
 7179, 305121, 001155,  1.155, X,    0096, 0163, -024,    
 7179, 306297, 001159,  1.159, X,    0096, 0163, -024,    
 7179, 307477, 001157,  1.157, X,    0096, 0163, -024,    
 7179, 308655, 001158,  1.158, X,    0096, 0163, -024,    
 7179, 309832, 001159,  1.159, X,    0096, 0163, -024,    
 7179, 311012, 001157,  1.157, X,    0096, 0163, -024,    
 7179, 312190, 001158,  1.158, X,    0096, 0163, -024,    
 7179, 313368, 001157,  1.157, X,    0096, 0163, -024,    
 7179, 314546, 001156,  1.156, X,    0092, 0157, -028,    
 7179, 315723, 001156,  1.156, X,    0092, 0157, -028,    
 7179, 316900, 001157,  1.157, X,    0092, 0157, -028,    
 7179, 318078, 001157,  1.157, X,    0092, 0157, -028,    
 7179, 319255, 001159,  1.159, X,    0092, 0157, -028,    
 7179, 320435, 001158,  1.158, X,    0092, 0157, -028,    
 7179, 321614, 001158,  1.158, X,    0092, 0157, -028,    
 7179, 322792, 001157,  1.157, X,    0092, 0157, -028,    
 7179, 323970, 001157,  1.157, X,    0090, 0153, -023,    
 7179, 325147, 001164,  1.164, X,    0090, 0153, -023,    
 7179, 326331, 001157,  1.157, X,    0090, 0153, -023,    
 7179, 327509, 001157,  1.157, X,    0090, 0153, -023,    
 7179, 328687, 001156,  1.156, X,    0090, 0153, -023,    
 7179, 329863, 001160,  1.160, X,    0090, 0153, -023,    
 7179, 331043, 001157,  1.157, X,    0090, 0153, -023,    
 7179, 332221, 001157,  1.157, X,    0090, 0153, -023,    
 7179, 333398, 001158,  1.158, X,    0090, 0153, -023,    
 7179, 334576, 001157,  1.157, X,    0098, 0161, -029,    
 7179, 335753, 001158,  1.158, X,    0098, 0161, -029,    
 7179, 336931, 001160,  1.160, X,    0098, 0161, -029,    
 7179, 338112, 001158,  1.158, X,    0098, 0161, -029,    
 7179, 339291, 001160,  1.160, X,    0098, 0161, -029,    
 7179, 340472, 001158,  1.158, X,    0098, 0161, -029,    
 7179, 341700, 001173,  1.173, X,    0098, 0161, -029,    
 7179, 342895, 001161,  1.161, X,    0098, 0161, -029,    
 7179, 344077, 001159,  1.159, X,    0092, 0155, -026,    
 7179, 345257, 001158,  1.158, X,    0092, 0155, -026,    
 7179, 346436, 001159,  1.159, X,    0092, 0155, -026,    
 7179, 347616, 001158,  1.158, X,    0092, 0155, -026,    
 7179, 348794, 001158,  1.158, X,    0092, 0155, -026,    
 7179, 349972, 001176,  1.176, X,    0092, 0155, -026,    
 7179, 351169, 001166,  1.166, X,    0092, 0155, -026,    
 7179, 352356, 001156,  1.156, X,    0092, 0155, -026,    
 7179, 353532, 001160,  1.160, X,    0092, 0155, -026,    
 7179, 354713, 001157,  1.157, X,    0094, 0160, -026,    
 7179, 355891, 001156,  1.156, X,    0094, 0160, -026,    
 7179, 357068, 001156,  1.156, X,    0094, 0160, -026,    
 7179, 358245, 001158,  1.158, X,    0094, 0160, -026,    
 7179, 359422, 001160,  1.160, X,    0094, 0160, -026,    
 7179, 360603, 001162,  1.162, X,    0094, 0160, -026,    
 7179, 361786, 001158,  1.158, X,    0094, 0160, -026,    
 7179, 362965, 001157,  1.157, X,    0094, 0160, -026,    
 7179, 364143, 001163,  1.163, X,    0093, 0156, -027,    
 7179, 365327, 001156,  1.156, X,    0093, 0156, -027,    
 7179, 366504, 001156,  1.156, X,    0093, 0156, -027,    
 7179, 367681, 001159,  1.159, X,    0093, 0156, -027,    
 7179, 368861, 001173,  1.173, X,    0093, 0156, -027,    
 7179, 370054, 001158,  1.158, X,    0093, 0156, -027,    
 7179, 371233, 001160,  1.160, X,    0093, 0156, -027,    
 7179, 372414, 001158,  1.158, X,    0093, 0156, -027,    
 7179, 373593, 001158,  1.158, X,    0093, 0156, -027,    
 7179, 374771, 001157,  1.157, X,    0092, 0157, -026,    
 7179, 375948, 001158,  1.158, X,    0092, 0157, -026,    
 7179, 377127, 001158,  1.158, X,    0092, 0157, -026,    
 7179, 378307, 001156,  1.156, X,    0092, 0157, -026,    
 7179, 379483, 001160,  1.160, X,    0092, 0157, -026,    
 7179, 380664, 001159,  1.159, X,    0092, 0157, -026,    
 7179, 381844, 001157,  1.157, X,    0092, 0157, -026,    
 7179, 383022, 001157,  1.157, X,    0092, 0157, -026,    
 7179, 384200, 001157,  1.157, X,    0091, 0156, -029,    
 7179, 385378, 001159,  1.159, X,    0091, 0156, -029,    
 7179, 386558, 001158,  1.158, X,    0091, 0156, -029,    
 7179, 387736, 001157,  1.157, X,    0091, 0156, -029,    
 7179, 388913, 001164,  1.164, X,    0091, 0156, -029,    
 7179, 390098, 001158,  1.158, X,    0091, 0156, -029,    
 7179, 391277, 001157,  1.157, X,    0091, 0156, -029,    
 7179, 392454, 001159,  1.159, X,    0091, 0156, -029,    
 7179, 393634, 001158,  1.158, X,    0091, 0156, -029,    
 7179, 394812, 001158,  1.158, X,    0090, 0160, -026,    
 7179, 395990, 001159,  1.159, X,    0090, 0160, -026,    
 7179, 397169, 001166,  1.166, X,    0090, 0160, -026,    
 7179, 398356, 001158,  1.158, X,    0090, 0160, -026,    
 7179, 399534, 001160,  1.160, X,    0090, 0160, -026,    
 7179, 400715, 001158,  1.158, X,    0090, 0160, -026,    
 7179, 401894, 001157,  1.157, X,    0090, 0160, -026,    
 7179, 403071, 001157,  1.157, X,    0090, 0160, -026,    
 7179, 404249, 001156,  1.156, X,    0092, 0160, -023,    
 7179, 405426, 001157,  1.157, X,    0092, 0160, -023,    
 7179, 406604, 001158,  1.158, X,    0092, 0160, -023,    
 7179, 407783, 001157,  1.157, X,    0092, 0160, -023,    
 7179, 408961, 001159,  1.159, X,    0092, 0160, -023,    
 7179, 410141, 001163,  1.163, X,    0092, 0160, -023,    
 7179, 411325, 001158,  1.158, X,    0092, 0160, -023,    
 7179, 412504, 001160,  1.160, X,    0092, 0160, -023,    
 7179, 413684, 001157,  1.157, X,    0085, 0160, -023,    
 7179, 414862, 001158,  1.158, X,    0085, 0155, -021,    
 7179, 416040, 001157,  1.157, X,    0085, 0155, -021,    
 7179, 417218, 001158,  1.158, X,    0085, 0155, -021,    
 7179, 418396, 001158,  1.158, X,    0085, 0155, -021,    
 7179, 419574, 001159,  1.159, X,    0085, 0155, -021,    
