 time,    start,     dur,        perc,  X,    
 002.320, 980844045, 000001167,  0.000, _,    
 002.330, 990844962, 000001208,  0.000, _,    
 002.340, 000844420, 000001209,  0.000, _,    
 002.350, 010844212, 000001167,  0.000, _,    
 002.360, 020844295, 000001250,  0.000, _,    
 002.370, 030844504, 000001000,  0.000, _,    
 002.380, 040844462, 000001208,  0.000, _,    
 002.390, 050844837, 000000958,  0.000, _,    
 002.400, 060844670, 000000959,  0.000, _,    
 002.410, 070844337, 000001208,  0.000, _,    
 002.420, 080844545, 000001209,  0.000, _,    
 002.430, 090845379, 000001166,  0.000, _,    
 002.440, 100844962, 000001208,  0.000, _,    
 002.450, 110844962, 000001167,  0.000, _,    
 002.460, 120844295, 000001459,  0.000, _,    
 002.470, 130845587, 000001458,  0.000, _,    
 002.480, 140845087, 000001167,  0.000, _,    
 002.490, 150845129, 000001250,  0.000, _,    
 002.500, 160844129, 000001208,  0.000, _,    
 002.510, 170844295, 000001417,  0.000, _,    
 002.520, 180845004, 000001166,  0.000, _,    
 002.530, 190845170, 000001625,  0.000, _,    
 002.540, 200849587, 000001542,  0.000, _,    
 002.550, 210846545, 000001250,  0.000, _,    
 002.560, 220848337, 000001167,  0.000, _,    
 002.570, 230845212, 000001417,  0.000, _,    
 002.580, 240844420, 000001167,  0.000, _,    
 002.590, 250845379, 000000958,  0.000, _,    
 002.600, 260849129, 000001208,  0.000, _,    
 002.610, 270848795, 000001834,  0.000, _,    
 002.620, 280845254, 000001375,  0.000, _,    
 002.630, 290845212, 000001667,  0.000, _,    
 002.640, 300845462, 000000958,  0.000, _,    
 002.650, 310845087, 000001417,  0.000, _,    
 002.660, 320844795, 000001667,  0.000, _,    
 002.670, 330844670, 000001417,  0.000, _,    
 002.680, 340843962, 000001250,  0.000, _,    
 002.690, 350844379, 000001250,  0.000, _,    
 002.700, 360844170, 000001709,  0.000, _,    
 002.710, 370844837, 000001417,  0.000, _,    
 002.720, 380844379, 000001208,  0.000, _,    
 002.730, 390844587, 000001625,  0.000, _,    
 002.740, 400844879, 000001416,  0.000, _,    
 002.750, 410844045, 000001667,  0.000, _,    
 002.760, 420844795, 000001417,  0.000, _,    
 002.770, 430843545, 000001209,  0.000, _,    
 002.780, 440843962, 000001208,  0.000, _,    
 002.790, 450845129, 000000958,  0.000, _,    
 002.800, 460846420, 000001542,  0.000, _,    
 002.810, 470845337, 000001417,  0.000, _,    
 002.820, 480843837, 000001167,  0.000, _,    
 002.830, 490844420, 000001167,  0.000, _,    
 002.840, 500845170, 000001209,  0.000, _,    
 002.850, 510845295, 000001209,  0.000, _,    
 002.860, 520843879, 000001000,  0.000, _,    
 002.870, 530843170, 000000959,  0.000, _,    
 002.880, 540843754, 000001208,  0.000, _,    
 002.890, 550844212, 000001042,  0.000, _,    
 002.900, 560844837, 000001000,  0.000, _,    
 002.910, 570844212, 000001208,  0.000, _,    
 002.920, 580844754, 000001208,  0.000, _,    
 002.930, 590844420, 000000959,  0.000, _,    
 002.940, 600844420, 000001417,  0.000, _,    
 002.950, 610847920, 000001417,  0.000, _,    
 002.960, 620844837, 000001250,  0.000, _,    
 002.970, 630844004, 000000916,  0.000, _,    
 002.980, 640844587, 000001000,  0.000, _,    
 002.990, 650845129, 000000958,  0.000, _,    
 003.000, 660844920, 000001000,  0.000, _,    
 003.010, 670843629, 000001166,  0.000, _,    
 003.020, 680844837, 000001458,  0.000, _,    
 003.030, 690845254, 000001208,  0.000, _,    
 003.040, 700844420, 000001459,  0.000, _,    
 003.050, 710844004, 000001208,  0.000, _,    
 003.060, 720844170, 000001250,  0.000, _,    
 003.070, 730844295, 000001625,  0.000, _,    
 003.080, 740844545, 000001750,  0.000, _,    
 003.090, 750844295, 000001209,  0.000, _,    
 003.100, 760843920, 000000917,  0.000, _,    
 003.110, 770844920, 000001417,  0.000, _,    
 003.120, 780844545, 000001209,  0.000, _,    
 003.130, 790844920, 000001000,  0.000, _,    
 003.140, 800848337, 000001208,  0.000, _,    
 003.150, 810843795, 000000959,  0.000, _,    
 003.160, 820844337, 000001208,  0.000, _,    
 003.170, 830844337, 000001250,  0.000, _,    
 003.180, 840845045, 000001417,  0.000, _,    
 003.190, 850844087, 000001250,  0.000, _,    
 003.200, 860844795, 000001000,  0.000, _,    
 003.210, 870845254, 000001458,  0.000, _,    
 003.220, 880844212, 000001667,  0.000, _,    
 003.230, 890844879, 000001208,  0.000, _,    
 003.240, 900844004, 000001250,  0.000, _,    
 003.250, 910844045, 000001500,  0.000, _,    
 003.260, 920844254, 000001250,  0.000, _,    
 003.270, 930844170, 000001459,  0.000, _,    
 003.280, 940844129, 000001208,  0.000, _,    
 003.290, 950844295, 000001459,  0.000, _,    
 003.300, 960844045, 000001167,  0.000, _,    
 003.310, 970843795, 000001209,  0.000, _,    
 003.320, 980844795, 000001459,  0.000, _,    
 003.330, 990844670, 000001000,  0.000, _,    
 003.340, 000844795, 000001417,  0.000, _,    
 003.350, 010844170, 000001167,  0.000, _,    
 003.360, 020844045, 000000875,  0.000, _,    
 003.370, 030844087, 000001458,  0.000, _,    
 003.380, 040844587, 000001167,  0.000, _,    
 003.390, 050844587, 000001500,  0.000, _,    
 003.400, 060844212, 000000917,  0.000, _,    
 003.410, 070843879, 000001166,  0.000, _,    
 003.420, 080844254, 000001166,  0.000, _,    
 003.430, 090844754, 000001458,  0.000, _,    
 003.440, 100845629, 000000958,  0.000, _,    
 003.450, 110843712, 000001167,  0.000, _,    
 003.460, 120844295, 000001459,  0.000, _,    
 003.470, 130844170, 000001459,  0.000, _,    
 003.480, 140846254, 000002000,  0.000, _,    
 003.490, 150849920, 000001417,  0.000, _,    
 003.500, 160844879, 000001375,  0.000, _,    
 003.510, 170844837, 000001000,  0.000, _,    
 003.520, 180845295, 000001209,  0.000, _,    
 003.530, 190844462, 000001625,  0.000, _,    
 003.540, 200847670, 000001417,  0.000, _,    
 003.550, 210846671, 000001625,  0.000, _,    
 003.560, 220844462, 000001667,  0.000, _,    
 003.570, 230844754, 000001542,  0.000, _,    
 003.580, 240844254, 000001167,  0.000, _,    
 003.590, 250845212, 000001167,  0.000, _,    
 003.600, 260845629, 000000917,  0.000, _,    
 003.610, 270845337, 000001209,  0.000, _,    
 003.620, 280845712, 000001167,  0.000, _,    
 003.630, 290844879, 000001208,  0.000, _,    
 003.640, 300844046, 000001541,  0.000, _,    
 003.650, 310843712, 000001000,  0.000, _,    
 003.660, 320844504, 000001542,  0.000, _,    
 003.670, 330844462, 000000959,  0.000, _,    
 003.680, 340843629, 000001417,  0.000, _,    
 003.690, 350844087, 000001167,  0.000, _,    
 003.700, 360845212, 000001000,  0.000, _,    
 003.710, 370844546, 000001708,  0.000, _,    
 003.720, 380844546, 000000958,  0.000, _,    
 003.730, 390844546, 000001000,  0.000, _,    
 003.740, 400845087, 000001209,  0.000, _,    
 003.750, 410845462, 000000959,  0.000, _,    
 003.760, 420844754, 000001167,  0.000, _,    
 003.770, 430844671, 000001166,  0.000, _,    
 003.780, 440844754, 000000958,  0.000, _,    
 003.790, 450844671, 000001250,  0.000, _,    
 003.800, 460846462, 000001209,  0.000, _,    
 003.810, 470844712, 000001209,  0.000, _,    
 003.820, 480844004, 000001167,  0.000, _,    
 003.830, 490844921, 000000958,  0.000, _,    
 003.840, 500844171, 000001000,  0.000, _,    
 003.850, 510845046, 000000958,  0.000, _,    
 003.860, 520845254, 000001042,  0.000, _,    
 003.870, 530843879, 000001000,  0.000, _,    
 003.880, 540844754, 000001417,  0.000, _,    
 003.890, 550844337, 000000959,  0.000, _,    
 003.900, 560845087, 000001459,  0.000, _,    
 003.910, 570844421, 000001291,  0.000, _,    
 003.920, 580843587, 000001000,  0.000, _,    
 003.930, 590845087, 000001000,  0.000, _,    
 003.940, 600843587, 000001000,  0.000, _,    
 003.950, 610843546, 000001416,  0.000, _,    
 003.960, 620844629, 000001208,  0.000, _,    
 003.970, 630844837, 000000959,  0.000, _,    
 003.980, 640844629, 000001292,  0.000, _,    
 003.990, 650843712, 000001209,  0.000, _,    
 004.000, 660844212, 000001250,  0.000, _,    
 004.010, 670845129, 000000958,  0.000, _,    
 004.020, 680844087, 000001000,  0.000, _,    
 004.030, 690844004, 000001208,  0.000, _,    
 004.040, 700844379, 000001000,  0.000, _,    
 004.050, 710844004, 000001042,  0.000, _,    
 004.060, 720845587, 000001000,  0.000, _,    
 004.070, 730844837, 000001250,  0.000, _,    
 004.080, 740844712, 000001209,  0.000, _,    
 004.090, 750848879, 000001208,  0.000, _,    
 004.100, 760844796, 000001458,  0.000, _,    
 004.110, 770844796, 000001666,  0.000, _,    
 004.120, 780844462, 000001750,  0.000, _,    
 004.130, 790843921, 000001000,  0.000, _,    
 004.140, 800845046, 000001208,  0.000, _,    
 004.150, 810843796, 000001000,  0.000, _,    
 004.160, 820845004, 000001208,  0.000, _,    
 004.170, 830844962, 000001584,  0.000, _,    
 004.180, 840844629, 000001458,  0.000, _,    
 004.190, 850844337, 000001417,  0.000, _,    
 004.200, 860844004, 000001458,  0.000, _,    
 004.210, 870843546, 000001375,  0.000, _,    
 004.220, 880843754, 000001250,  0.000, _,    
 004.230, 890844212, 000001000,  0.000, _,    
 004.240, 900844004, 000001583,  0.000, _,    
 004.250, 910844837, 000001209,  0.000, _,    
 004.260, 920844754, 000001208,  0.000, _,    
 004.270, 930844671, 000001458,  0.000, _,    
 004.280, 940844629, 000001208,  0.000, _,    
 004.290, 950845296, 000001250,  0.000, _,    
 004.300, 960844837, 000000959,  0.000, _,    
 004.310, 970844254, 000001458,  0.000, _,    
 004.320, 980844421, 000001208,  0.000, _,    
 004.330, 990845296, 000001250,  0.000, _,    
 004.340, 000844046, 000001250,  0.000, _,    
 004.350, 010846546, 000001375,  0.000, _,    
 004.360, 020846337, 000001584,  0.000, _,    
