 Gtime,       Gdur,    Gperc, G,        Grx1,   Gry1,   Grz1,           Gax1,   Gay1,   Gaz1        
 0002.095917, 000987,  0.099, _,    -00037, 000070, -00032,    -00036.92, 000072.94, -00035.52,    
 0002.105927, 000989,  0.099, _,    -00033, 000078, -00027,    -00036.31, 000074.00, -00033.55,    
 0002.115921, 000987,  0.099, _,    -00030, 000077, -00041,    -00034.69, 000074.73, -00034.86,    
 0002.125916, 000987,  0.099, _,    -00031, 000085, -00041,    -00033.95, 000076.81, -00036.50,    
 0002.135925, 000987,  0.099, _,    -00038, 000074, -00037,    -00034.62, 000076.61, -00036.50,    
 0002.145920, 000992,  0.099, _,    -00041, 000081, -00033,    -00036.17, 000077.11, -00035.94,    
 0002.155930, 000999,  0.100, _,    -00036, 000076, -00041,    -00036.19, 000077.45, -00036.77,    
 0002.165924, 000990,  0.099, _,    -00028, 000080, -00034,    -00034.47, 000077.56, -00036.67,    
 0002.175919, 000990,  0.099, _,    -00034, 000076, -00034,    -00034.00, 000077.75, -00035.69,    
 0002.185928, 000986,  0.099, _,    -00033, 000070, -00027,    -00034.02, 000075.81, -00034.06,    
 0002.195923, 000987,  0.099, _,    -00035, 000077, -00033,    -00033.94, 000076.17, -00033.34,    
 0002.205917, 000989,  0.099, _,    -00033, 000080, -00032,    -00033.89, 000076.97, -00033.45,    
 0002.215927, 000987,  0.099, _,    -00039, 000082, -00037,    -00034.72, 000078.22, -00033.80,    
 0002.225922, 000995,  0.100, _,    -00046, 000080, -00042,    -00037.42, 000078.62, -00035.92,    
 0002.235916, 000989,  0.099, _,    -00042, 000064, -00034,    -00038.58, 000075.69, -00035.47,    
 0002.245926, 000989,  0.099, _,    -00032, 000069, -00036,    -00037.34, 000073.67, -00035.47,    
 0002.255920, 000989,  0.099, _,    -00032, 000086, -00036,    -00035.95, 000076.36, -00035.61,    
 0002.265930, 000987,  0.099, _,    -00037, 000080, -00037,    -00036.19, 000077.36, -00035.88,    
 0002.275925, 000988,  0.099, _,    -00038, 000068, -00042,    -00036.58, 000075.31, -00037.16,    
 0002.285919, 000988,  0.099, _,    -00041, 000082, -00038,    -00037.61, 000076.39, -00037.53,    
 0002.295929, 000987,  0.099, _,    -00030, 000077, -00032,    -00036.23, 000077.02, -00036.38,    
 0002.305923, 000988,  0.099, _,    -00031, 000074, -00030,    -00034.84, 000076.14, -00035.06,    
 0002.315933, 000986,  0.099, _,    -00035, 000072, -00041,    -00035.02, 000075.39, -00036.17,    
 0002.325928, 000990,  0.099, _,    -00030, 000078, -00035,    -00033.88, 000075.53, -00036.28,    
 0002.335922, 000987,  0.099, _,    -00032, 000079, -00037,    -00033.28, 000076.59, -00036.11,    
 0002.345917, 000989,  0.099, _,    -00036, 000077, -00042,    -00033.72, 000076.53, -00037.52,    
 0002.355927, 000987,  0.099, _,    -00033, 000077, -00038,    -00033.59, 000076.81, -00037.67,    
 0002.365921, 000987,  0.099, _,    -00037, 000074, -00038,    -00034.20, 000076.25, -00037.80,    
 0002.375931, 000990,  0.099, _,    -00038, 000075, -00037,    -00035.19, 000075.91, -00037.61,    
 0002.385925, 000986,  0.099, _,    -00036, 000076, -00033,    -00035.28, 000075.83, -00036.64,    
 0002.395920, 000987,  0.099, _,    -00033, 000074, -00034,    -00034.86, 000075.53, -00035.92,    
 0002.405930, 000987,  0.099, _,    -00039, 000074, -00042,    -00035.52, 000075.09, -00037.17,    
 0002.415924, 000985,  0.099, _,    -00033, 000076, -00029,    -00035.31, 000075.27, -00035.77,    
 0002.425919, 000995,  0.100, _,    -00041, 000071, -00038,    -00036.23, 000074.45, -00035.80,    
 0002.435928, 000992,  0.099, _,    -00038, 000073, -00027,    -00037.08, 000073.97, -00034.45,    
 0002.445923, 000988,  0.099, _,    -00034, 000077, -00030,    -00036.22, 000074.64, -00032.78,    
 0002.455917, 000989,  0.099, _,    -00041, 000084, -00038,    -00037.39, 000076.52, -00034.22,    
 0002.465927, 000988,  0.099, _,    -00045, 000080, -00036,    -00039.03, 000077.56, -00034.33,    
 0002.475922, 000987,  0.099, _,    -00033, 000068, -00039,    -00038.09, 000075.48, -00035.41,    
 0002.485916, 000988,  0.099, _,    -00038, 000079, -00039,    -00037.67, 000075.95, -00036.16,    
 0002.495926, 000988,  0.099, _,    -00036, 000079, -00036,    -00037.67, 000076.95, -00036.23,    
 0002.505920, 000987,  0.099, _,    -00034, 000082, -00042,    -00036.62, 000077.83, -00037.33,    
 0002.515930, 000987,  0.099, _,    -00033, 000077, -00035,    -00036.06, 000078.00, -00037.20,    
 0002.525925, 000989,  0.099, _,    -00031, 000069, -00043,    -00034.73, 000075.94, -00037.98,    
 0002.535919, 000988,  0.099, _,    -00034, 000082, -00044,    -00034.59, 000077.11, -00039.81,    
 0002.545929, 000986,  0.099, _,    -00039, 000074, -00031,    -00035.44, 000076.88, -00037.94,    
 0002.555923, 000993,  0.099, _,    -00032, 000074, -00036,    -00034.86, 000075.91, -00037.42,    
 0002.565933, 000992,  0.099, _,    -00035, 000080, -00035,    -00034.58, 000076.89, -00037.14,    
 0002.575928, 000989,  0.099, _,    -00035, 000079, -00042,    -00034.84, 000077.30, -00037.94,    
 0002.585922, 000989,  0.099, _,    -00036, 000079, -00027,    -00034.80, 000077.70, -00036.06,    
 0002.595917, 000991,  0.099, _,    -00038, 000074, -00029,    -00035.62, 000077.03, -00033.89,    
 0002.605927, 000989,  0.099, _,    -00030, 000074, -00041,    -00034.44, 000076.23, -00035.56,    
 0002.615921, 000988,  0.099, _,    -00029, 000068, -00036,    -00033.11, 000074.53, -00035.72,    
 0002.625931, 000994,  0.099, _,    -00032, 000076, -00041,    -00032.86, 000074.47, -00036.67,    
 0002.635925, 000989,  0.099, _,    -00029, 000074, -00035,    -00032.06, 000074.61, -00036.50,    
 0002.645920, 000988,  0.099, _,    -00027, 000080, -00033,    -00030.88, 000075.50, -00035.53,    
 0002.655930, 000987,  0.099, _,    -00037, 000079, -00037,    -00032.00, 000076.59, -00035.81,    
 0002.665924, 000988,  0.099, _,    -00041, 000077, -00032,    -00034.06, 000076.47, -00035.08,    
 0002.675919, 000987,  0.099, _,    -00035, 000070, -00039,    -00034.38, 000075.38, -00035.67,    
 0002.685928, 000988,  0.099, _,    -00039, 000076, -00037,    -00035.25, 000075.03, -00036.25,    
 0002.695923, 000989,  0.099, _,    -00034, 000075, -00032,    -00035.19, 000075.33, -00035.20,    
 0002.705917, 000986,  0.099, _,    -00034, 000071, -00026,    -00034.75, 000074.12, -00033.36,    
 0002.715927, 000987,  0.099, _,    -00039, 000074, -00029,    -00035.72, 000074.17, -00032.20,    
 0002.725922, 000988,  0.099, _,    -00033, 000074, -00036,    -00035.27, 000074.09, -00032.95,    
 0002.735916, 000988,  0.099, _,    -00038, 000076, -00040,    -00035.77, 000074.59, -00034.41,    
 0002.745926, 000989,  0.099, _,    -00032, 000074, -00032,    -00035.31, 000074.50, -00034.06,    
 0002.755920, 000986,  0.099, _,    -00032, 000072, -00036,    -00034.38, 000073.89, -00034.16,    
 0002.765930, 000987,  0.099, _,    -00038, 000082, -00039,    -00035.31, 000075.44, -00035.48,    
 0002.775925, 000989,  0.099, _,    -00034, 000080, -00033,    -00035.06, 000076.69, -00034.91,    
 0002.785919, 000987,  0.099, _,    -00034, 000077, -00035,    -00034.69, 000076.64, -00034.86,    
 0002.795929, 000988,  0.099, _,    -00042, 000072, -00033,    -00036.19, 000075.84, -00034.48,    
 0002.805923, 000987,  0.099, _,    -00028, 000078, -00037,    -00034.78, 000076.06, -00034.89,    
 0002.815918, 000987,  0.099, _,    -00035, 000077, -00035,    -00034.28, 000076.56, -00035.17,    
 0002.825928, 000991,  0.099, _,    -00037, 000076, -00036,    -00035.28, 000076.31, -00035.27,    
 0002.835922, 000989,  0.099, _,    -00039, 000076, -00036,    -00035.73, 000076.39, -00035.62,    
 0002.845917, 000987,  0.099, _,    -00040, 000078, -00034,    -00036.98, 000076.64, -00035.22,    
 0002.855927, 000987,  0.099, _,    -00037, 000076, -00037,    -00036.88, 000076.72, -00035.55,    
 0002.865921, 000987,  0.099, _,    -00029, 000076, -00033,    -00035.41, 000076.42, -00035.09,    
 0002.875916, 000987,  0.099, _,    -00039, 000078, -00040,    -00035.83, 000076.86, -00035.95,    
 0002.885925, 000988,  0.099, _,    -00042, 000084, -00036,    -00037.50, 000078.25, -00036.23,    
 0002.895920, 000985,  0.099, _,    -00033, 000076, -00041,    -00036.47, 000078.08, -00037.00,    
 0002.905930, 000987,  0.099, _,    -00044, 000074, -00035,    -00037.97, 000076.94, -00037.00,    
 0002.915924, 000988,  0.099, _,    -00036, 000072, -00038,    -00037.91, 000076.08, -00036.86,    
 0002.925919, 000987,  0.099, _,    -00033, 000082, -00040,    -00036.66, 000077.02, -00037.86,    
 0002.935928, 000987,  0.099, _,    -00036, 000080, -00038,    -00036.66, 000078.06, -00037.75,    
 0002.945923, 000987,  0.099, _,    -00031, 000078, -00043,    -00035.34, 000077.81, -00038.98,    
 0002.955917, 000988,  0.099, _,    -00039, 000079, -00032,    -00035.94, 000078.27, -00037.69,    
