 Mtime,       Mdur,    Mperc, M,        Mrx1, Mry1, Mrz1,         Max1, May1, Maz1,     
 0011.061127, 001230,  0.025, _,    0108, 0153, -035,    0106.94, 0154.66, -036.97,    
 0011.111115, 001176,  0.024, _,    0106, 0155, -033,    0106.62, 0154.28, -036.08,    
 0011.161118, 001187,  0.024, _,    0103, 0156, -039,    0105.95, 0154.98, -036.55,    
 0011.211121, 001172,  0.023, _,    0107, 0159, -036,    0105.98, 0155.59, -036.69,    
 0011.261108, 001173,  0.023, _,    0106, 0160, -033,    0106.22, 0156.83, -035.78,    
 0011.311111, 001166,  0.023, _,    0105, 0149, -036,    0105.88, 0155.20, -035.83,    
 0011.361115, 001165,  0.023, _,    0108, 0150, -033,    0106.34, 0153.91, -035.25,    
 0011.411118, 001167,  0.023, _,    0105, 0154, -034,    0106.14, 0153.92, -034.88,    
 0011.461105, 001169,  0.023, _,    0108, 0153, -038,    0106.47, 0153.80, -035.52,    
 0011.511108, 001167,  0.023, _,    0111, 0155, -040,    0107.52, 0153.94, -036.50,    
 0011.561111, 001173,  0.023, _,    0105, 0149, -036,    0107.08, 0153.05, -036.48,    
 0011.611115, 001170,  0.023, _,    0108, 0153, -040,    0107.08, 0152.73, -037.06,    
 0011.661118, 001171,  0.023, _,    0107, 0156, -039,    0107.22, 0153.59, -037.69,    
 0011.711105, 001166,  0.023, _,    0106, 0155, -035,    0106.86, 0153.81, -037.09,    
 0011.761108, 001168,  0.023, _,    0112, 0154, -041,    0108.00, 0153.86, -037.86,    
 0011.811111, 001166,  0.023, _,    0104, 0153, -035,    0107.36, 0153.59, -037.45,    
 0011.861115, 001167,  0.023, _,    0111, 0155, -033,    0107.83, 0153.84, -036.38,    
 0011.911118, 001166,  0.023, _,    0111, 0160, -030,    0108.89, 0155.19, -035.12,    
 0011.961105, 001165,  0.023, _,    0106, 0155, -028,    0108.14, 0155.41, -033.42,    
 0012.011108, 001172,  0.023, _,    0109, 0152, -034,    0108.36, 0154.55, -033.47,    
 0012.061111, 001172,  0.023, _,    0107, 0159, -036,    0108.11, 0155.50, -034.00,    
 0012.111115, 001167,  0.023, _,    0107, 0156, -034,    0107.80, 0155.80, -033.95,    
 0012.161118, 001167,  0.023, _,    0104, 0162, -038,    0107.06, 0157.00, -034.70,    
 0012.211105, 001165,  0.023, _,    0101, 0148, -040,    0105.67, 0155.55, -035.92,    
 0012.261108, 001169,  0.023, _,    0107, 0159, -034,    0105.80, 0155.62, -035.53,    
 0012.311111, 001166,  0.023, _,    0106, 0153, -035,    0106.00, 0155.77, -035.30,    
 0012.361115, 001167,  0.023, _,    0104, 0155, -040,    0105.41, 0155.02, -036.27,    
 0012.411118, 001173,  0.023, _,    0108, 0157, -040,    0105.92, 0155.88, -037.17,    
 0012.461105, 001169,  0.023, _,    0111, 0155, -035,    0107.02, 0155.41, -036.86,    
 0012.511108, 001170,  0.023, _,    0103, 0154, -036,    0106.27, 0155.31, -036.62,    
 0012.561111, 001169,  0.023, _,    0105, 0154, -032,    0105.75, 0154.81, -035.86,    
 0012.611115, 001168,  0.023, _,    0109, 0149, -034,    0106.52, 0153.78, -035.30,    
 0012.661118, 001170,  0.023, _,    0100, 0147, -034,    0105.20, 0152.00, -035.12,    
 0012.711105, 001168,  0.023, _,    0105, 0154, -036,    0104.91, 0152.38, -035.14,    
 0012.761108, 001166,  0.023, _,    0108, 0160, -040,    0105.72, 0153.89, -036.27,    
