 Ftime,       Fdur,      Qw1,     Qx1,     Qy1,     Qz1,        Ex1,     Ey1,     Ez1,      dEx1, dEy1, dEz1  
 0001.989990, 000036,    00.9961, 00.0537, 00.0126, -0.0682,    00.1057, 00.0326, -0.1335,    00.0249, -0.0055, 00.0006,    
 0002.000000, 000030,    00.9961, 00.0535, 00.0127, -0.0688,    00.1055, 00.0324, -0.1349,    00.0264, -0.0029, -0.0013,    
 0002.010010, 000041,    00.9961, 00.0534, 00.0125, -0.0695,    00.1050, 00.0326, -0.1362,    00.0294, -0.0019, -0.0004,    
 0002.020020, 000035,    00.9960, 00.0532, 00.0124, -0.0702,    00.1049, 00.0322, -0.1376,    00.0291, -0.0037, -0.0011,    
 0002.030029, 000041,    00.9960, 00.0528, 00.0126, -0.0707,    00.1045, 00.0322, -0.1390,    00.0249, -0.0032, 00.0015,    
 0002.040039, 000031,    00.9960, 00.0526, 00.0125, -0.0714,    00.1037, 00.0325, -0.1401,    00.0234, -0.0037, -0.0010,    
 0002.050049, 000034,    00.9960, 00.0522, 00.0123, -0.0719,    00.1032, 00.0325, -0.1414,    00.0272, -0.0032, -0.0005,    
 0002.060059, 000045,    00.9959, 00.0519, 00.0122, -0.0725,    00.1025, 00.0320, -0.1425,    00.0287, -0.0018, -0.0009,    
 0002.070068, 000036,    00.9959, 00.0520, 00.0121, -0.0733,    00.1019, 00.0318, -0.1438,    00.0329, -0.0031, 00.0010,    
 0002.080078, 000034,    00.9958, 00.0519, 00.0123, -0.0740,    00.1021, 00.0318, -0.1453,    00.0311, -0.0034, -0.0014,    
 0002.090088, 000030,    00.9958, 00.0518, 00.0122, -0.0747,    00.1018, 00.0322, -0.1466,    00.0232, -0.0035, 00.0008,    
 0002.100098, 000036,    00.9957, 00.0519, 00.0121, -0.0754,    00.1016, 00.0321, -0.1481,    00.0196, -0.0056, 00.0003,    
 0002.109863, 000043,    00.9957, 00.0516, 00.0124, -0.0760,    00.1018, 00.0319, -0.1496,    00.0200, -0.0052, -0.0011,    
 0002.119873, 000032,    00.9957, 00.0514, 00.0122, -0.0767,    00.1011, 00.0324, -0.1507,    00.0196, -0.0040, -0.0006,    
 0002.129883, 000040,    00.9956, 00.0512, 00.0124, -0.0773,    00.1007, 00.0322, -0.1521,    00.0228, -0.0066, -0.0007,    
 0002.139893, 000032,    00.9956, 00.0508, 00.0123, -0.0779,    00.1002, 00.0327, -0.1533,    00.0237, -0.0046, -0.0004,    
 0002.149902, 000038,    00.9955, 00.0507, 00.0122, -0.0786,    00.0995, 00.0324, -0.1545,    00.0244, -0.0037, -0.0006,    
 0002.159912, 000034,    00.9955, 00.0503, 00.0122, -0.0791,    00.0992, 00.0322, -0.1559,    00.0263, -0.0042, -0.0008,    
 0002.169922, 000038,    00.9955, 00.0501, 00.0119, -0.0798,    00.0984, 00.0322, -0.1571,    00.0242, -0.0052, -0.0004,    
 0002.179932, 000033,    00.9954, 00.0501, 00.0120, -0.0805,    00.0980, 00.0317, -0.1584,    00.0201, -0.0048, -0.0016,    
 0002.189941, 000018,    00.9954, 00.0500, 00.0121, -0.0812,    00.0980, 00.0320, -0.1598,    00.0196, -0.0059, 00.0001,    
 0002.199951, 000128,    00.9953, 00.0501, 00.0122, -0.0819,    00.0977, 00.0321, -0.1612,    00.0246, -0.0041, -0.0006,    
 0002.209961, 000038,    00.9952, 00.0503, 00.0121, -0.0827,    00.0980, 00.0325, -0.1627,    00.0219, -0.0036, -0.0034,    
 0002.219971, 000018,    00.9952, 00.0499, 00.0121, -0.0833,    00.0983, 00.0324, -0.1642,    00.0181, -0.0059, 00.0002,    
 0002.229980, 000018,    00.9951, 00.0501, 00.0121, -0.0840,    00.0975, 00.0325, -0.1653,    00.0166, -0.0045, -0.0017,    
 0002.239990, 000036,    00.9951, 00.0499, 00.0121, -0.0847,    00.0978, 00.0324, -0.1668,    00.0215, -0.0060, -0.0005,    
 0002.250000, 000035,    00.9950, 00.0496, 00.0122, -0.0853,    00.0974, 00.0325, -0.1682,    00.0210, -0.0057, -0.0022,    
 0002.260010, 000018,    00.9950, 00.0495, 00.0122, -0.0861,    00.0968, 00.0327, -0.1695,    00.0197, -0.0049, -0.0021,    
 0002.270020, 000037,    00.9949, 00.0495, 00.0118, -0.0867,    00.0966, 00.0328, -0.1710,    00.0215, -0.0043, -0.0002,    
