 Mtime,       Mdur,      Mrx1, Mry1, Mrz1,    Max1,    May1,    Maz1,       Mcx1,    Mcy1,    Mcz1,   
 0001.395996, 000913,    0061, 0191, -034,    0061.00, 0191.00, -034.00,    -0.2079, -0.4246, 00.7841,    
 0001.406006, 000914,    0066, 0200, -036,    0066.00, 0200.00, -036.00,    -0.2360, -0.4749, 00.7727,    
 0001.415955, 000906,    0064, 0193, -044,    0064.00, 0193.00, -044.00,    -0.2247, -0.4358, 00.7273,    
 0001.425964, 000914,    0062, 0199, -045,    0062.00, 0199.00, -045.00,    -0.2135, -0.4693, 00.7216,    
 0001.435974, 000920,    0062, 0187, -047,    0062.00, 0187.00, -047.00,    -0.2135, -0.4022, 00.7102,    
 0001.445984, 000916,    0062, 0192, -042,    0062.00, 0192.00, -042.00,    -0.2135, -0.4302, 00.7386,    
 0001.455994, 000913,    0065, 0192, -042,    0065.00, 0192.00, -042.00,    -0.2303, -0.4302, 00.7386,    
 0001.466003, 000913,    0061, 0193, -046,    0061.00, 0193.00, -046.00,    -0.2079, -0.4358, 00.7159,    
 0001.475952, 000919,    0066, 0195, -044,    0066.00, 0195.00, -044.00,    -0.2360, -0.4469, 00.7273,    
 0001.485962, 000916,    0060, 0194, -042,    0060.00, 0194.00, -042.00,    -0.2022, -0.4413, 00.7386,    
 0001.495972, 000914,    0060, 0192, -042,    0060.00, 0192.00, -042.00,    -0.2022, -0.4302, 00.7386,    
 0001.505981, 000915,    0059, 0200, -039,    0059.00, 0200.00, -039.00,    -0.1966, -0.4749, 00.7557,    
 0001.515991, 000917,    0065, 0192, -040,    0065.00, 0192.00, -040.00,    -0.2303, -0.4302, 00.7500,    
 0001.526001, 000912,    0066, 0195, -041,    0066.00, 0195.00, -041.00,    -0.2360, -0.4469, 00.7443,    
 0001.535950, 000918,    0065, 0197, -042,    0065.00, 0197.00, -042.00,    -0.2303, -0.4581, 00.7386,    
 0001.545959, 000914,    0068, 0191, -041,    0068.00, 0191.00, -041.00,    -0.2472, -0.4246, 00.7443,    
 0001.555969, 000910,    0059, 0193, -041,    0059.00, 0193.00, -041.00,    -0.1966, -0.4358, 00.7443,    
 0001.565979, 000911,    0066, 0198, -041,    0066.00, 0198.00, -041.00,    -0.2360, -0.4637, 00.7443,    
 0001.575989, 000915,    0065, 0199, -042,    0065.00, 0199.00, -042.00,    -0.2303, -0.4693, 00.7386,    
 0001.585999, 000917,    0061, 0198, -039,    0061.00, 0198.00, -039.00,    -0.2079, -0.4637, 00.7557,    
 0001.596008, 000913,    0067, 0197, -042,    0067.00, 0197.00, -042.00,    -0.2416, -0.4581, 00.7386,    
 0001.605957, 000914,    0068, 0198, -039,    0068.00, 0198.00, -039.00,    -0.2472, -0.4637, 00.7557,    
 0001.615967, 000913,    0066, 0188, -034,    0066.00, 0188.00, -034.00,    -0.2360, -0.4078, 00.7841,    
 0001.625977, 000914,    0059, 0193, -041,    0059.00, 0193.00, -041.00,    -0.1966, -0.4358, 00.7443,    
 0001.635986, 000914,    0066, 0191, -036,    0066.00, 0191.00, -036.00,    -0.2360, -0.4246, 00.7727,    
 0001.645996, 000917,    0059, 0191, -039,    0059.00, 0191.00, -039.00,    -0.1966, -0.4246, 00.7557,    
 0001.656006, 000918,    0061, 0188, -036,    0061.00, 0188.00, -036.00,    -0.2079, -0.4078, 00.7727,    
 0001.665955, 000915,    0062, 0194, -040,    0062.00, 0194.00, -040.00,    -0.2135, -0.4413, 00.7500,    
 0001.675964, 000914,    0064, 0193, -044,    0064.00, 0193.00, -044.00,    -0.2247, -0.4358, 00.7273,    
 0001.685974, 000916,    0065, 0192, -040,    0065.00, 0192.00, -040.00,    -0.2303, -0.4302, 00.7500,    
 0001.695984, 000908,    0065, 0197, -038,    0065.00, 0197.00, -038.00,    -0.2303, -0.4581, 00.7614,    
 0001.705994, 000916,    0066, 0195, -034,    0066.00, 0195.00, -034.00,    -0.2360, -0.4469, 00.7841,    
 0001.716003, 000910,    0065, 0194, -038,    0065.00, 0194.00, -038.00,    -0.2303, -0.4413, 00.7614,    
 0001.725952, 000916,    0061, 0200, -041,    0061.00, 0200.00, -041.00,    -0.2079, -0.4749, 00.7443,    
 0001.735962, 000917,    0064, 0195, -044,    0064.00, 0195.00, -044.00,    -0.2247, -0.4469, 00.7273,    
 0001.745972, 001058,    0061, 0195, -041,    0061.00, 0195.00, -041.00,    -0.2079, -0.4469, 00.7443,    
 0001.755981, 000913,    0061, 0191, -036,    0061.00, 0191.00, -036.00,    -0.2079, -0.4246, 00.7727,    
 0001.765991, 000909,    0065, 0192, -040,    0065.00, 0192.00, -040.00,    -0.2303, -0.4302, 00.7500,    
 0001.776001, 000913,    0066, 0191, -039,    0066.00, 0191.00, -039.00,    -0.2360, -0.4246, 00.7557,    
